# type,stim,RT
none,1,0
cor,3,0.884
none,5,0
cor,3,0.651
none,9,0
none,7,0
cor,3,0.734
none,2,0
none,6,0
cor,3,0.817
none,4,0
none,6,0
cor,3,0.684
none,1,0
none,1,0
none,4,0
none,2,0
none,5,0
none,2,0
none,7,0
none,5,0
cor,3,0.65
none,5,0
none,8,0
none,4,0
cor,3,0.75
none,5,0
cor,3,0.767
none,8,0
none,9,0
none,7,0
none,2,0
none,8,0
none,1,0
none,6,0
none,7,0
none,6,0
cor,3,0.753
none,4,0
none,1,0
cor,3,0.751
none,4,0
none,2,0
none,2,0
cor,3,0.667
none,5,0
omi,3,0
delay,1,0.167
cor,3,0.733
none,1,0
none,5,0
none,4,0
cor,3,0.633
none,9,0
none,5,0
none,9,0
none,2,0
cor,3,0.684
none,5,0
none,6,0
cor,3,0.75
none,5,0
none,1,0
none,8,0
none,2,0
none,2,0
cor,3,0.767
none,8,0
cor,3,0.767
none,2,0
none,7,0
cor,3,0.785
none,6,0
cor,3,0.833
none,8,0
none,6,0
cor,3,0.85
none,9,0
none,7,0
none,9,0
none,9,0
cor,3,0.75
none,7,0
none,1,0
com,7,0.8
none,4,0
none,8,0
omi,3,0
none,6,0
none,4,0
none,5,0
omi,3,0
none,7,0
none,6,0
none,7,0
none,5,0
none,1,0
none,9,0
none,4,0
cor,3,0.567
none,1,0
none,6,0
cor,3,0.7
none,7,0
none,8,0
cor,3,0.717
none,8,0
none,9,0
cor,3,0.767
none,1,0
cor,3,0.816
none,8,0
none,6,0
omi,3,0
none,8,0
none,8,0
none,7,0
none,7,0
none,6,0
cor,3,0.734
none,2,0
none,1,0
cor,3,0.784
none,7,0
cor,3,0.784
none,5,0
none,9,0
com,7,0.851
none,9,0
cor,3,0.834
none,6,0
none,7,0
none,9,0
none,8,0
none,6,0
cor,3,0.617
none,7,0
none,4,0
none,7,0
cor,3,0.717
none,2,0
cor,3,0.867
none,4,0
none,2,0
cor,3,0.867
none,4,0
none,4,0
none,1,0
none,2,0
cor,3,0.784
none,7,0
none,7,0
none,8,0
cor,3,0.9
none,8,0
cor,3,0.801
none,2,0
none,6,0
cor,3,0.749
none,2,0
omi,3,0
delay,6,0.235
cor,3,0.75
none,9,0
none,5,0
cor,3,0.634
none,8,0
none,5,0
none,7,0
none,9,0
none,1,0
none,7,0
none,8,0
cor,3,0.718
none,4,0
none,8,0
none,9,0
none,1,0
none,7,0
none,1,0
none,2,0
cor,3,0.717
none,1,0
none,1,0
cor,3,0.8
none,7,0
none,5,0
cor,3,0.733
none,5,0
none,8,0
none,1,0
cor,3,0.6
none,1,0
cor,3,0.65
none,2,0
none,2,0
none,1,0
none,9,0
none,9,0
cor,3,0.7
none,9,0
cor,3,0.767
none,9,0
none,6,0
none,7,0
none,9,0
cor,3,0.55
none,8,0
none,9,0
none,9,0
