# type,stim,RT
cor,3,0.55
none,2,0
none,7,0
cor,3,0.5
none,9,0
none,6,0
none,7,0
none,6,0
none,2,0
cor,3,0.684
none,8,0
cor,3,0.818
none,9,0
none,1,0
none,7,0
none,2,0
none,2,0
cor,3,0.533
none,5,0
none,6,0
cor,3,0.617
none,5,0
none,8,0
cor,3,0.517
none,6,0
none,6,0
cor,3,0.634
none,6,0
cor,3,0.717
none,8,0
none,9,0
none,9,0
none,6,0
none,4,0
cor,3,0.584
none,4,0
none,6,0
none,1,0
none,9,0
none,9,0
none,8,0
none,5,0
none,5,0
cor,3,0.55
none,1,0
none,1,0
none,2,0
cor,3,0.667
none,4,0
none,2,0
cor,3,0.7
none,1,0
none,9,0
none,2,0
cor,3,0.517
none,9,0
none,6,0
none,7,0
cor,3,0.567
none,2,0
none,4,0
cor,3,0.667
none,1,0
none,8,0
none,8,0
cor,3,0.6
none,7,0
omi,3,0
none,9,0
none,2,0
none,8,0
cor,3,0.6
none,7,0
none,9,0
none,7,0
cor,3,0.7
none,7,0
none,2,0
cor,3,0.717
none,5,0
none,5,0
cor,3,0.65
none,5,0
none,6,0
none,9,0
none,4,0
cor,3,0.533
none,2,0
none,4,0
cor,3,0.683
none,1,0
none,6,0
cor,3,0.683
none,9,0
none,9,0
none,4,0
none,8,0
none,8,0
cor,3,0.684
none,2,0
none,8,0
none,8,0
none,6,0
cor,3,0.666
none,9,0
cor,3,0.783
none,9,0
none,8,0
cor,3,0.7
none,5,0
none,2,0
none,5,0
cor,3,0.684
none,7,0
cor,3,0.75
none,8,0
none,7,0
cor,3,0.584
none,1,0
cor,3,0.7
none,1,0
none,5,0
none,6,0
cor,3,0.567
none,8,0
none,4,0
none,7,0
none,9,0
none,2,0
none,8,0
none,7,0
none,1,0
none,7,0
none,8,0
none,1,0
cor,3,0.6
none,5,0
none,9,0
cor,3,0.55
none,6,0
cor,3,0.752
none,4,0
none,4,0
cor,3,0.582
none,7,0
none,1,0
none,9,0
cor,3,0.483
none,4,0
none,7,0
none,4,0
cor,3,0.585
none,4,0
cor,3,0.784
none,1,0
none,2,0
none,9,0
cor,3,0.533
none,4,0
none,1,0
none,1,0
none,9,0
none,2,0
none,5,0
none,8,0
cor,3,0.55
none,6,0
none,6,0
cor,3,0.617
none,1,0
none,5,0
cor,3,0.551
none,6,0
cor,3,0.668
none,4,0
none,6,0
none,4,0
cor,3,0.532
none,6,0
none,6,0
cor,3,0.65
none,5,0
none,2,0
none,4,0
none,2,0
none,1,0
none,7,0
cor,3,0.717
none,9,0
cor,3,0.85
none,7,0
none,4,0
none,2,0
none,1,0
none,2,0
cor,3,0.736
none,6,0
none,2,0
none,9,0
none,8,0
none,7,0
none,4,0
cor,3,0.633
none,4,0
none,8,0
cor,3,0.567
none,1,0
none,1,0
none,6,0
cor,3,0.635
none,7,0
none,4,0
none,1,0
cor,3,0.517
none,5,0
cor,3,0.684
none,6,0
none,9,0
cor,3,0.55
none,4,0
cor,3,0.617
none,9,0
none,5,0
none,4,0
none,4,0
