block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	813	0	0
0	1	2	0	2	2	570	0	0
0	2	2	0	2	2	503	12	0
0	3	1	0	2	1	436	11	0
0	4	2	0	2	2	600	0	0
0	5	2	0	2	2	749	9	0
0	6	1	0	2	1	674	0	0
0	7	1	0	2	1	806	0	0
0	8	2	0	2	2	811	9	0
0	9	2	1	2	0	0	0	300
0	10	1	0	2	1	596	11	0
0	11	1	1	2	0	0	0	350
0	12	1	0	2	1	806	11	0
0	13	1	0	2	1	882	0	0
0	14	2	0	2	2	823	0	0
0	15	1	0	2	1	740	0	0
0	16	1	0	2	1	1152	0	0
0	17	2	0	2	2	677	0	0
0	18	1	0	2	1	650	0	0
0	19	2	0	2	2	590	0	0
0	20	1	0	2	1	803	0	0
0	21	1	0	2	1	768	11	0
0	22	1	0	2	1	693	0	0
0	23	2	0	2	2	665	0	0
0	24	2	1	0	2	622	9	400
0	25	2	0	2	2	747	9	0
0	26	2	1	2	0	0	0	350
0	27	2	0	2	2	596	0	0
0	28	1	1	2	0	0	0	400
0	29	1	1	0	1	621	0	450
0	30	2	0	2	2	810	11	0
0	31	2	1	2	0	0	0	400
0	32	2	0	2	2	715	0	0
0	33	2	0	2	2	592	0	0
0	34	1	1	0	1	621	0	450
0	35	2	1	2	0	0	0	400
0	36	1	0	2	1	774	0	0
0	37	2	0	2	2	851	0	0
0	38	1	0	2	1	807	0	0
0	39	2	0	2	2	724	0	0
0	40	2	1	2	0	0	0	450
0	41	2	0	2	2	637	0	0
0	42	1	1	2	0	0	0	500
0	43	2	0	2	2	735	0	0
0	44	1	0	2	1	1052	0	0
0	45	2	0	2	2	664	14	0
0	46	2	1	0	2	661	0	550
0	47	1	0	2	1	1058	0	0
0	48	1	0	2	1	902	0	0
0	49	1	1	0	1	635	0	500
0	50	2	0	2	2	1032	0	0
0	51	1	0	2	1	1124	11	0
0	52	2	0	2	2	937	0	0
0	53	1	1	2	0	0	0	450
0	54	1	0	2	1	938	0	0
0	55	2	0	2	2	991	0	0
0	56	1	0	2	1	1004	-18	0
0	57	1	0	2	1	968	0	0
0	58	2	1	2	0	0	0	500
0	59	1	0	2	1	1018	11	0
0	60	1	0	2	1	998	0	0
0	61	1	0	2	1	891	0	0
0	62	2	0	2	2	1128	0	0
0	63	1	1	2	0	0	0	550
1	0	1	0	2	1	888	0	0
1	1	2	0	2	2	669	0	0
1	2	1	0	2	1	753	0	0
1	3	1	0	2	1	686	0	0
1	4	1	1	0	1	691	11	600
1	5	1	1	2	0	0	0	550
1	6	1	0	2	1	996	0	0
1	7	2	0	2	2	1225	0	0
1	8	2	0	2	2	598	11	0
1	9	2	0	2	2	898	0	0
1	10	1	1	2	0	0	0	600
1	11	1	0	2	1	835	0	0
1	12	2	0	2	2	960	0	0
1	13	1	0	2	1	909	0	0
1	14	2	1	2	0	0	0	650
1	15	1	0	2	1	846	0	0
1	16	1	0	2	1	1035	0	0
1	17	1	0	2	1	1008	0	0
1	18	2	1	2	0	0	0	700
1	19	2	0	2	2	1137	0	0
1	20	2	0	2	2	1070	0	0
1	21	1	1	2	0	0	0	750
1	22	2	0	2	2	951	0	0
1	23	1	0	2	1	1052	0	0
1	24	1	1	2	0	0	0	800
1	25	2	1	2	0	0	0	850
1	26	1	0	2	1	938	0	0
1	27	2	0	2	2	1214	0	0
1	28	2	1	0	2	939	0	900
1	29	1	0	0	0	0	0	0
1	30	2	0	2	2	1220	0	0
1	31	2	0	2	2	1153	11	0
1	32	2	0	2	2	1230	0	0
1	33	2	0	2	2	1083	-13	0
1	34	2	0	2	2	1151	0	0
1	35	1	0	2	1	1020	0	0
1	36	1	0	2	1	1073	0	0
1	37	2	0	2	2	1117	11	0
1	38	2	1	0	2	1090	0	850
1	39	2	0	0	0	0	0	0
1	40	2	0	2	2	819	0	0
1	41	1	0	0	0	0	0	0
1	42	2	0	2	2	1085	0	0
1	43	2	0	2	2	913	0	0
1	44	2	0	2	2	854	0	0
1	45	1	0	2	1	715	0	0
1	46	1	0	2	1	711	11	0
1	47	1	0	2	1	764	0	0
1	48	1	0	2	1	857	-9	0
1	49	2	0	2	2	950	0	0
1	50	2	0	2	2	834	0	0
1	51	2	1	2	0	0	0	800
