63.7218 	EXP 	msgFeedback: autoDraw = True
65.0388 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
65.0846 	EXP 	msgFeedback: autoDraw = False
65.0846 	EXP 	msgFeedback: autoDraw = False
65.0846 	EXP 	stimuli: color = u'green (named)'
65.0846 	EXP 	stimuli: text = u'red'
65.0846 	EXP 	hint: autoDraw = True
65.5681 	EXP 	stimuli: autoDraw = True
69.1978 	DATA 	Keypress: down
69.3221 	EXP 	stimuli: autoDraw = False
69.3221 	EXP 	hint: autoDraw = False
69.3221 	EXP 	msgFeedback: text = 'Correct! RT=3.630'
69.3221 	EXP 	msgFeedback: autoDraw = True
70.6975 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
70.7531 	EXP 	msgFeedback: autoDraw = False
70.7531 	EXP 	msgFeedback: autoDraw = False
70.7531 	EXP 	stimuli: color = u'red (named)'
70.7531 	EXP 	stimuli: text = u'blue'
70.7531 	EXP 	hint: autoDraw = True
71.2274 	EXP 	stimuli: autoDraw = True
73.3591 	DATA 	Keypress: left
73.4793 	EXP 	stimuli: autoDraw = False
73.4793 	EXP 	hint: autoDraw = False
73.4793 	EXP 	msgFeedback: text = 'Correct! RT=2.132'
73.4793 	EXP 	msgFeedback: autoDraw = True
74.8588 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
74.8727 	EXP 	msgFeedback: autoDraw = False
74.8727 	EXP 	msgFeedback: autoDraw = False
74.8727 	EXP 	stimuli: color = u'blue (named)'
74.8727 	EXP 	stimuli: text = u'blue'
74.8727 	EXP 	hint: autoDraw = True
75.3889 	EXP 	stimuli: autoDraw = True
79.1516 	DATA 	Keypress: right
79.2780 	EXP 	stimuli: autoDraw = False
79.2780 	EXP 	hint: autoDraw = False
79.2780 	EXP 	msgFeedback: text = 'Correct! RT=3.763'
79.2780 	EXP 	msgFeedback: autoDraw = True
80.6510 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
80.6653 	EXP 	msgFeedback: autoDraw = False
80.6653 	EXP 	msgFeedback: autoDraw = False
80.6653 	EXP 	stimuli: color = u'green (named)'
80.6653 	EXP 	stimuli: text = u'blue'
80.6653 	EXP 	hint: autoDraw = True
81.1813 	EXP 	stimuli: autoDraw = True
83.2134 	DATA 	Keypress: down
83.3350 	EXP 	stimuli: autoDraw = False
83.3350 	EXP 	hint: autoDraw = False
83.3350 	EXP 	msgFeedback: text = 'Correct! RT=2.032'
83.3350 	EXP 	msgFeedback: autoDraw = True
84.7124 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
84.7608 	EXP 	msgFeedback: autoDraw = False
84.7608 	EXP 	msgFeedback: autoDraw = False
84.7608 	EXP 	stimuli: color = u'red (named)'
84.7608 	EXP 	stimuli: text = u'red'
84.7608 	EXP 	hint: autoDraw = True
85.2425 	EXP 	stimuli: autoDraw = True
88.5728 	DATA 	Keypress: left
88.6917 	EXP 	stimuli: autoDraw = False
88.6917 	EXP 	hint: autoDraw = False
88.6917 	EXP 	msgFeedback: text = 'Correct! RT=3.331'
88.6917 	EXP 	msgFeedback: autoDraw = True
90.0734 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
90.1245 	EXP 	msgFeedback: autoDraw = False
90.1245 	EXP 	msgFeedback: autoDraw = False
90.1245 	EXP 	stimuli: color = u'blue (named)'
90.1245 	EXP 	stimuli: text = u'blue'
90.1245 	EXP 	hint: autoDraw = True
90.6023 	EXP 	stimuli: autoDraw = True
93.2840 	DATA 	Keypress: right
93.4107 	EXP 	stimuli: autoDraw = False
93.4107 	EXP 	hint: autoDraw = False
93.4107 	EXP 	msgFeedback: text = 'Correct! RT=2.682'
93.4107 	EXP 	msgFeedback: autoDraw = True
94.7844 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
94.8345 	EXP 	msgFeedback: autoDraw = False
94.8345 	EXP 	msgFeedback: autoDraw = False
94.8345 	EXP 	stimuli: color = u'red (named)'
94.8345 	EXP 	stimuli: text = u'red'
94.8345 	EXP 	hint: autoDraw = True
95.3129 	EXP 	stimuli: autoDraw = True
96.5998 	DATA 	Keypress: left
96.7317 	EXP 	stimuli: autoDraw = False
96.7317 	EXP 	hint: autoDraw = False
96.7317 	EXP 	msgFeedback: text = 'Correct! RT=1.299'
96.7317 	EXP 	msgFeedback: autoDraw = True
98.1122 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
98.1701 	EXP 	msgFeedback: autoDraw = False
98.1701 	EXP 	msgFeedback: autoDraw = False
98.1701 	EXP 	stimuli: color = u'green (named)'
98.1701 	EXP 	stimuli: text = u'green'
98.1701 	EXP 	hint: autoDraw = True
98.6419 	EXP 	stimuli: autoDraw = True
100.0783 	DATA 	Keypress: down
100.2110 	EXP 	stimuli: autoDraw = False
100.2110 	EXP 	hint: autoDraw = False
100.2110 	EXP 	msgFeedback: text = 'Correct! RT=1.448'
100.2110 	EXP 	msgFeedback: autoDraw = True
101.5904 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
101.6052 	EXP 	msgFeedback: autoDraw = False
101.6052 	EXP 	msgFeedback: autoDraw = False
101.6052 	EXP 	stimuli: color = u'green (named)'
101.6052 	EXP 	stimuli: text = u'green'
101.6052 	EXP 	hint: autoDraw = True
102.1206 	EXP 	stimuli: autoDraw = True
102.8592 	DATA 	Keypress: down
102.9978 	EXP 	stimuli: autoDraw = False
102.9978 	EXP 	hint: autoDraw = False
102.9978 	EXP 	msgFeedback: text = 'Correct! RT=0.751'
102.9978 	EXP 	msgFeedback: autoDraw = True
104.3705 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
104.3844 	EXP 	msgFeedback: autoDraw = False
104.3844 	EXP 	msgFeedback: autoDraw = False
104.3844 	EXP 	stimuli: color = u'green (named)'
104.3844 	EXP 	stimuli: text = u'green'
104.3844 	EXP 	hint: autoDraw = True
104.9008 	EXP 	stimuli: autoDraw = True
105.6338 	DATA 	Keypress: down
105.7571 	EXP 	stimuli: autoDraw = False
105.7571 	EXP 	hint: autoDraw = False
105.7571 	EXP 	msgFeedback: text = 'Correct! RT=0.733'
105.7571 	EXP 	msgFeedback: autoDraw = True
107.1333 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
107.1473 	EXP 	msgFeedback: autoDraw = False
107.1473 	EXP 	msgFeedback: autoDraw = False
107.1473 	EXP 	stimuli: color = u'red (named)'
107.1473 	EXP 	stimuli: text = u'green'
107.1473 	EXP 	hint: autoDraw = True
107.6634 	EXP 	stimuli: autoDraw = True
109.1792 	DATA 	Keypress: left
109.3132 	EXP 	stimuli: autoDraw = False
109.3132 	EXP 	hint: autoDraw = False
109.3132 	EXP 	msgFeedback: text = 'Correct! RT=1.516'
109.3132 	EXP 	msgFeedback: autoDraw = True
110.6786 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
110.7356 	EXP 	msgFeedback: autoDraw = False
110.7356 	EXP 	msgFeedback: autoDraw = False
110.7356 	EXP 	stimuli: color = u'red (named)'
110.7356 	EXP 	stimuli: text = u'blue'
110.7356 	EXP 	hint: autoDraw = True
111.2089 	EXP 	stimuli: autoDraw = True
113.9401 	DATA 	Keypress: left
114.0592 	EXP 	stimuli: autoDraw = False
114.0592 	EXP 	hint: autoDraw = False
114.0592 	EXP 	msgFeedback: text = 'Correct! RT=2.732'
114.0592 	EXP 	msgFeedback: autoDraw = True
115.4392 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
115.4540 	EXP 	msgFeedback: autoDraw = False
115.4540 	EXP 	msgFeedback: autoDraw = False
115.4540 	EXP 	stimuli: color = u'green (named)'
115.4540 	EXP 	stimuli: text = u'blue'
115.4540 	EXP 	hint: autoDraw = True
115.9695 	EXP 	stimuli: autoDraw = True
118.0724 	DATA 	Keypress: down
118.2078 	EXP 	stimuli: autoDraw = False
118.2078 	EXP 	hint: autoDraw = False
118.2078 	EXP 	msgFeedback: text = 'Correct! RT=2.114'
118.2078 	EXP 	msgFeedback: autoDraw = True
119.5838 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
119.6394 	EXP 	msgFeedback: autoDraw = False
119.6394 	EXP 	msgFeedback: autoDraw = False
119.6394 	EXP 	stimuli: color = u'green (named)'
119.6394 	EXP 	stimuli: text = u'green'
119.6394 	EXP 	hint: autoDraw = True
120.1140 	EXP 	stimuli: autoDraw = True
120.7973 	DATA 	Keypress: down
120.9180 	EXP 	stimuli: autoDraw = False
120.9180 	EXP 	hint: autoDraw = False
120.9180 	EXP 	msgFeedback: text = 'Correct! RT=0.684'
120.9180 	EXP 	msgFeedback: autoDraw = True
122.2969 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
122.3466 	EXP 	msgFeedback: autoDraw = False
122.3466 	EXP 	msgFeedback: autoDraw = False
122.3466 	EXP 	stimuli: color = u'green (named)'
122.3466 	EXP 	stimuli: text = u'red'
122.3466 	EXP 	hint: autoDraw = True
122.8273 	EXP 	stimuli: autoDraw = True
123.9103 	DATA 	Keypress: down
124.0330 	EXP 	stimuli: autoDraw = False
124.0330 	EXP 	hint: autoDraw = False
124.0330 	EXP 	msgFeedback: text = 'Correct! RT=1.083'
124.0330 	EXP 	msgFeedback: autoDraw = True
125.4096 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
125.4669 	EXP 	msgFeedback: autoDraw = False
125.4669 	EXP 	msgFeedback: autoDraw = False
125.4669 	EXP 	stimuli: color = u'blue (named)'
125.4669 	EXP 	stimuli: text = u'green'
125.4669 	EXP 	hint: autoDraw = True
125.9396 	EXP 	stimuli: autoDraw = True
127.3058 	DATA 	Keypress: right
127.4253 	EXP 	stimuli: autoDraw = False
127.4253 	EXP 	hint: autoDraw = False
127.4253 	EXP 	msgFeedback: text = 'Correct! RT=1.367'
127.4253 	EXP 	msgFeedback: autoDraw = True
128.8051 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
128.8532 	EXP 	msgFeedback: autoDraw = False
128.8532 	EXP 	msgFeedback: autoDraw = False
128.8532 	EXP 	stimuli: color = u'red (named)'
128.8532 	EXP 	stimuli: text = u'red'
128.8532 	EXP 	hint: autoDraw = True
129.3352 	EXP 	stimuli: autoDraw = True
130.5389 	DATA 	Keypress: left
130.6724 	EXP 	stimuli: autoDraw = False
130.6724 	EXP 	hint: autoDraw = False
130.6724 	EXP 	msgFeedback: text = 'Correct! RT=1.216'
130.6724 	EXP 	msgFeedback: autoDraw = True
132.0517 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
132.1025 	EXP 	msgFeedback: autoDraw = False
132.1025 	EXP 	msgFeedback: autoDraw = False
132.1025 	EXP 	stimuli: color = u'blue (named)'
132.1025 	EXP 	stimuli: text = u'blue'
132.1025 	EXP 	hint: autoDraw = True
132.5810 	EXP 	stimuli: autoDraw = True
134.1319 	DATA 	Keypress: right
134.2560 	EXP 	stimuli: autoDraw = False
134.2560 	EXP 	hint: autoDraw = False
134.2560 	EXP 	msgFeedback: text = 'Correct! RT=1.551'
134.2560 	EXP 	msgFeedback: autoDraw = True
135.6296 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
135.6789 	EXP 	msgFeedback: autoDraw = False
135.6789 	EXP 	msgFeedback: autoDraw = False
135.6789 	EXP 	stimuli: color = u'red (named)'
135.6789 	EXP 	stimuli: text = u'red'
135.6789 	EXP 	hint: autoDraw = True
136.1611 	EXP 	stimuli: autoDraw = True
136.8936 	DATA 	Keypress: left
137.0161 	EXP 	stimuli: autoDraw = False
137.0161 	EXP 	hint: autoDraw = False
137.0161 	EXP 	msgFeedback: text = 'Correct! RT=0.733'
137.0161 	EXP 	msgFeedback: autoDraw = True
138.3928 	EXP 	New trial (rep=1, index=10): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
138.4068 	EXP 	msgFeedback: autoDraw = False
138.4068 	EXP 	msgFeedback: autoDraw = False
138.4068 	EXP 	stimuli: color = u'green (named)'
138.4068 	EXP 	stimuli: text = u'red'
138.4068 	EXP 	hint: autoDraw = True
138.9229 	EXP 	stimuli: autoDraw = True
139.8231 	DATA 	Keypress: down
139.9472 	EXP 	stimuli: autoDraw = False
139.9472 	EXP 	hint: autoDraw = False
139.9472 	EXP 	msgFeedback: text = 'Correct! RT=0.900'
139.9472 	EXP 	msgFeedback: autoDraw = True
141.3221 	EXP 	New trial (rep=1, index=11): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
141.3749 	EXP 	msgFeedback: autoDraw = False
141.3749 	EXP 	msgFeedback: autoDraw = False
141.3749 	EXP 	stimuli: color = u'blue (named)'
141.3749 	EXP 	stimuli: text = u'blue'
141.3749 	EXP 	hint: autoDraw = True
141.8564 	EXP 	stimuli: autoDraw = True
143.3222 	DATA 	Keypress: right
143.4576 	EXP 	stimuli: autoDraw = False
143.4576 	EXP 	hint: autoDraw = False
143.4576 	EXP 	msgFeedback: text = 'Correct! RT=1.478'
143.4576 	EXP 	msgFeedback: autoDraw = True
145.0566 	EXP 	msgFeedback: autoDraw = False
145.0566 	EXP 	msgFeedback: autoDraw = False
145.0566 	EXP 	text: autoDraw = True
149.6267 	DATA 	Keypress: space
149.7512 	EXP 	Imported conditions.xlsx as conditions, 45 conditions, 4 params
149.7541 	EXP 	Created sequence: random, trialTypes=45, nReps=4, seed=None
149.7562 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
149.8048 	EXP 	text: autoDraw = False
149.8048 	EXP 	stimuli: color = u'red (named)'
149.8048 	EXP 	stimuli: text = u'red'
149.8048 	EXP 	hint: autoDraw = True
150.2746 	EXP 	stimuli: autoDraw = True
151.4279 	DATA 	Keypress: left
151.4457 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
151.4578 	EXP 	stimuli: autoDraw = False
151.4578 	EXP 	hint: autoDraw = False
151.4578 	EXP 	stimuli: color = u'red (named)'
151.4578 	EXP 	stimuli: text = u'red'
151.4578 	EXP 	hint: autoDraw = True
151.9732 	EXP 	stimuli: autoDraw = True
153.7050 	DATA 	Keypress: left
153.7095 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
153.7666 	EXP 	stimuli: autoDraw = False
153.7666 	EXP 	hint: autoDraw = False
153.7666 	EXP 	stimuli: color = u'green (named)'
153.7666 	EXP 	stimuli: text = u'green'
153.7666 	EXP 	hint: autoDraw = True
154.2367 	EXP 	stimuli: autoDraw = True
155.1530 	DATA 	Keypress: down
155.1575 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
155.1698 	EXP 	stimuli: autoDraw = False
155.1698 	EXP 	hint: autoDraw = False
155.1698 	EXP 	stimuli: color = u'green (named)'
155.1698 	EXP 	stimuli: text = u'green'
155.1698 	EXP 	hint: autoDraw = True
155.6844 	EXP 	stimuli: autoDraw = True
156.5548 	DATA 	Keypress: down
156.5712 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
156.6243 	EXP 	stimuli: autoDraw = False
156.6243 	EXP 	hint: autoDraw = False
156.6243 	EXP 	stimuli: color = u'blue (named)'
156.6243 	EXP 	stimuli: text = u'blue'
156.6243 	EXP 	hint: autoDraw = True
157.0994 	EXP 	stimuli: autoDraw = True
158.2168 	DATA 	Keypress: right
158.2216 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
158.2793 	EXP 	stimuli: autoDraw = False
158.2793 	EXP 	hint: autoDraw = False
158.2793 	EXP 	stimuli: color = u'green (named)'
158.2793 	EXP 	stimuli: text = u'green'
158.2793 	EXP 	hint: autoDraw = True
158.7471 	EXP 	stimuli: autoDraw = True
159.8836 	DATA 	Keypress: down
159.9016 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
159.9137 	EXP 	stimuli: autoDraw = False
159.9137 	EXP 	hint: autoDraw = False
159.9137 	EXP 	stimuli: color = u'green (named)'
159.9137 	EXP 	stimuli: text = u'green'
159.9137 	EXP 	hint: autoDraw = True
160.4283 	EXP 	stimuli: autoDraw = True
161.0617 	DATA 	Keypress: down
161.0663 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
161.1147 	EXP 	stimuli: autoDraw = False
161.1147 	EXP 	hint: autoDraw = False
161.1147 	EXP 	stimuli: color = u'red (named)'
161.1147 	EXP 	stimuli: text = u'red'
161.1147 	EXP 	hint: autoDraw = True
161.5932 	EXP 	stimuli: autoDraw = True
162.6436 	DATA 	Keypress: left
162.6487 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
162.7043 	EXP 	stimuli: autoDraw = False
162.7043 	EXP 	hint: autoDraw = False
162.7043 	EXP 	stimuli: color = u'blue (named)'
162.7043 	EXP 	stimuli: text = u'blue'
162.7043 	EXP 	hint: autoDraw = True
163.1755 	EXP 	stimuli: autoDraw = True
165.2236 	DATA 	Keypress: right
165.2282 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
165.2410 	EXP 	stimuli: autoDraw = False
165.2410 	EXP 	hint: autoDraw = False
165.2410 	EXP 	stimuli: color = u'blue (named)'
165.2410 	EXP 	stimuli: text = u'blue'
165.2410 	EXP 	hint: autoDraw = True
165.7546 	EXP 	stimuli: autoDraw = True
166.3721 	DATA 	Keypress: right
166.3767 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
166.4228 	EXP 	stimuli: autoDraw = False
166.4228 	EXP 	hint: autoDraw = False
166.4228 	EXP 	stimuli: color = u'red (named)'
166.4228 	EXP 	stimuli: text = u'red'
166.4228 	EXP 	hint: autoDraw = True
166.9032 	EXP 	stimuli: autoDraw = True
168.6352 	DATA 	Keypress: left
168.6424 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
168.6559 	EXP 	stimuli: autoDraw = False
168.6559 	EXP 	hint: autoDraw = False
168.6559 	EXP 	stimuli: color = u'red (named)'
168.6559 	EXP 	stimuli: text = u'red'
168.6559 	EXP 	hint: autoDraw = True
169.1670 	EXP 	stimuli: autoDraw = True
169.9375 	DATA 	Keypress: left
169.9555 	EXP 	New trial (rep=0, index=12): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
170.0124 	EXP 	stimuli: autoDraw = False
