227.9054 	EXP 	msgFeedback: autoDraw = True
229.1617 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
229.1748 	EXP 	msgFeedback: autoDraw = False
229.1748 	EXP 	msgFeedback: autoDraw = False
229.1748 	EXP 	stimuli: color = u'green (named)'
229.1748 	EXP 	stimuli: text = u'green'
229.1748 	EXP 	hint: autoDraw = True
229.6897 	EXP 	stimuli: autoDraw = True
230.4901 	DATA 	Keypress: down
230.7548 	EXP 	stimuli: autoDraw = False
230.7548 	EXP 	hint: autoDraw = False
230.7548 	EXP 	msgFeedback: text = 'Correct! RT=0.801'
230.7548 	EXP 	msgFeedback: autoDraw = True
231.9948 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
232.1337 	EXP 	msgFeedback: autoDraw = False
232.1337 	EXP 	msgFeedback: autoDraw = False
232.1337 	EXP 	stimuli: color = u'green (named)'
232.1337 	EXP 	stimuli: text = u'red'
232.1337 	EXP 	hint: autoDraw = True
232.5260 	EXP 	stimuli: autoDraw = True
233.7743 	DATA 	Keypress: down
234.1838 	EXP 	stimuli: autoDraw = False
234.1838 	EXP 	hint: autoDraw = False
234.1838 	EXP 	msgFeedback: text = 'Correct! RT=1.259'
234.1838 	EXP 	msgFeedback: autoDraw = True
235.2900 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
235.3055 	EXP 	msgFeedback: autoDraw = False
235.3055 	EXP 	msgFeedback: autoDraw = False
235.3055 	EXP 	stimuli: color = u'red (named)'
235.3055 	EXP 	stimuli: text = u'red'
235.3055 	EXP 	hint: autoDraw = True
235.8201 	EXP 	stimuli: autoDraw = True
236.6548 	DATA 	Keypress: left
237.0413 	EXP 	stimuli: autoDraw = False
237.0413 	EXP 	hint: autoDraw = False
237.0413 	EXP 	msgFeedback: text = 'Correct! RT=0.836'
237.0413 	EXP 	msgFeedback: autoDraw = True
238.1695 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
238.1853 	EXP 	msgFeedback: autoDraw = False
238.1853 	EXP 	msgFeedback: autoDraw = False
238.1853 	EXP 	stimuli: color = u'green (named)'
238.1853 	EXP 	stimuli: text = u'red'
238.1853 	EXP 	hint: autoDraw = True
238.6999 	EXP 	stimuli: autoDraw = True
239.2342 	DATA 	Keypress: down
239.6390 	EXP 	stimuli: autoDraw = False
239.6390 	EXP 	hint: autoDraw = False
239.6390 	EXP 	msgFeedback: text = 'Correct! RT=0.544'
239.6390 	EXP 	msgFeedback: autoDraw = True
240.7498 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
240.9080 	EXP 	msgFeedback: autoDraw = False
240.9080 	EXP 	msgFeedback: autoDraw = False
240.9080 	EXP 	stimuli: color = u'blue (named)'
240.9080 	EXP 	stimuli: text = u'blue'
240.9080 	EXP 	hint: autoDraw = True
241.2807 	EXP 	stimuli: autoDraw = True
241.8774 	DATA 	Keypress: right
242.2820 	EXP 	stimuli: autoDraw = False
242.2820 	EXP 	hint: autoDraw = False
242.2820 	EXP 	msgFeedback: text = 'Correct! RT=0.606'
242.2820 	EXP 	msgFeedback: autoDraw = True
243.3966 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
243.4123 	EXP 	msgFeedback: autoDraw = False
243.4123 	EXP 	msgFeedback: autoDraw = False
243.4123 	EXP 	stimuli: color = u'green (named)'
243.4123 	EXP 	stimuli: text = u'blue'
243.4123 	EXP 	hint: autoDraw = True
243.9250 	EXP 	stimuli: autoDraw = True
244.8918 	DATA 	Keypress: down
245.2927 	EXP 	stimuli: autoDraw = False
245.2927 	EXP 	hint: autoDraw = False
245.2927 	EXP 	msgFeedback: text = 'Correct! RT=0.977'
245.2927 	EXP 	msgFeedback: autoDraw = True
246.4123 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
246.4320 	EXP 	msgFeedback: autoDraw = False
246.4320 	EXP 	msgFeedback: autoDraw = False
246.4320 	EXP 	stimuli: color = u'red (named)'
246.4320 	EXP 	stimuli: text = u'blue'
246.4320 	EXP 	hint: autoDraw = True
246.9381 	EXP 	stimuli: autoDraw = True
247.6076 	DATA 	Keypress: left
247.9953 	EXP 	stimuli: autoDraw = False
247.9953 	EXP 	hint: autoDraw = False
247.9953 	EXP 	msgFeedback: text = 'Correct! RT=0.670'
247.9953 	EXP 	msgFeedback: autoDraw = True
249.1218 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
249.2912 	EXP 	msgFeedback: autoDraw = False
249.2912 	EXP 	msgFeedback: autoDraw = False
249.2912 	EXP 	stimuli: color = u'blue (named)'
249.2912 	EXP 	stimuli: text = u'green'
249.2912 	EXP 	hint: autoDraw = True
249.6532 	EXP 	stimuli: autoDraw = True
250.6711 	DATA 	Keypress: right
251.0414 	EXP 	stimuli: autoDraw = False
251.0414 	EXP 	hint: autoDraw = False
251.0414 	EXP 	msgFeedback: text = 'Correct! RT=1.019'
251.0414 	EXP 	msgFeedback: autoDraw = True
252.1838 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
252.3195 	EXP 	msgFeedback: autoDraw = False
252.3195 	EXP 	msgFeedback: autoDraw = False
252.3195 	EXP 	stimuli: color = u'blue (named)'
252.3195 	EXP 	stimuli: text = u'blue'
252.3195 	EXP 	hint: autoDraw = True
252.7152 	EXP 	stimuli: autoDraw = True
253.4056 	DATA 	Keypress: right
253.7515 	EXP 	stimuli: autoDraw = False
253.7515 	EXP 	hint: autoDraw = False
253.7515 	EXP 	msgFeedback: text = 'Correct! RT=0.692'
253.7515 	EXP 	msgFeedback: autoDraw = True
254.9128 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
255.0239 	EXP 	msgFeedback: autoDraw = False
255.0239 	EXP 	msgFeedback: autoDraw = False
255.0239 	EXP 	stimuli: color = u'red (named)'
255.0239 	EXP 	stimuli: text = u'red'
255.0239 	EXP 	hint: autoDraw = True
255.4430 	EXP 	stimuli: autoDraw = True
256.0486 	DATA 	Keypress: left
256.3996 	EXP 	stimuli: autoDraw = False
256.3996 	EXP 	hint: autoDraw = False
256.3996 	EXP 	msgFeedback: text = 'Correct! RT=0.616'
256.3996 	EXP 	msgFeedback: autoDraw = True
257.5769 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
257.7293 	EXP 	msgFeedback: autoDraw = False
257.7293 	EXP 	stimuli: color = u'green (named)'
257.7293 	EXP 	stimuli: text = u'blue'
257.7293 	EXP 	hint: autoDraw = True
258.1087 	EXP 	stimuli: autoDraw = True
258.8930 	DATA 	Keypress: down
259.2943 	EXP 	stimuli: autoDraw = False
259.2943 	EXP 	hint: autoDraw = False
259.2943 	EXP 	msgFeedback: text = 'Correct! RT=0.794'
259.2943 	EXP 	msgFeedback: autoDraw = True
260.4073 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
260.5769 	EXP 	msgFeedback: autoDraw = False
260.5769 	EXP 	msgFeedback: autoDraw = False
260.5769 	EXP 	stimuli: color = u'green (named)'
260.5769 	EXP 	stimuli: text = u'green'
260.5769 	EXP 	hint: autoDraw = True
260.9389 	EXP 	stimuli: autoDraw = True
261.5530 	DATA 	Keypress: down
261.9414 	EXP 	stimuli: autoDraw = False
261.9414 	EXP 	hint: autoDraw = False
261.9414 	EXP 	msgFeedback: text = 'Correct! RT=0.615'
261.9414 	EXP 	msgFeedback: autoDraw = True
263.0699 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
263.0861 	EXP 	msgFeedback: autoDraw = False
