# type,stim,RT
none,9,0
cor,3,0.552
none,9,0
none,7,0
none,1,0
cor,3,0.834
none,5,0
none,8,0
cor,3,0.566
none,7,0
none,6,0
com,7,0.5
cor,3,0.834
none,2,0
none,5,0
cor,3,0.667
none,5,0
none,2,0
none,7,0
none,9,0
none,5,0
cor,3,0.583
none,1,0
cor,3,0.867
none,7,0
none,6,0
cor,3,0.667
none,1,0
none,8,0
none,4,0
none,2,0
none,4,0
cor,3,0.683
none,1,0
none,2,0
none,9,0
none,6,0
none,4,0
none,7,0
cor,3,0.683
none,6,0
none,9,0
cor,3,0.834
none,5,0
none,8,0
cor,3,0.6
none,8,0
none,4,0
cor,3,0.768
none,1,0
none,4,0
cor,3,0.635
none,7,0
none,6,0
cor,3,0.75
none,5,0
none,9,0
none,4,0
cor,3,0.7
none,5,0
none,4,0
none,1,0
none,5,0
none,8,0
none,4,0
none,7,0
cor,3,0.684
none,9,0
none,2,0
cor,3,0.733
none,1,0
none,8,0
cor,3,0.684
none,4,0
none,6,0
none,6,0
cor,3,0.651
none,8,0
cor,3,0.767
none,9,0
com,6,0.734
omi,3,0
none,1,0
com,2,0.183
omi,3,0
none,2,0
none,9,0
none,2,0
none,6,0
cor,3,0.9
none,5,0
none,4,0
none,8,0
none,9,0
none,1,0
none,7,0
none,5,0
cor,3,0.652
none,5,0
none,5,0
cor,3,0.6
none,5,0
none,6,0
omi,3,0
delay,7,0.15
cor,3,0.85
none,6,0
none,6,0
cor,3,0.768
none,5,0
none,7,0
none,6,0
none,5,0
cor,3,0.784
none,5,0
cor,3,0.784
none,6,0
cor,3,0.715
none,5,0
none,8,0
none,1,0
none,2,0
none,7,0
none,4,0
none,8,0
none,8,0
cor,3,0.617
none,8,0
none,1,0
none,8,0
cor,3,0.599
none,1,0
cor,3,0.765
none,4,0
none,6,0
none,6,0
none,2,0
cor,3,0.735
none,1,0
none,6,0
none,1,0
cor,3,0.685
none,1,0
none,5,0
none,6,0
none,4,0
cor,3,0.633
none,7,0
omi,3,0
delay,1,0.182
none,9,0
none,2,0
cor,3,0.767
none,7,0
none,2,0
none,8,0
none,7,0
none,5,0
none,1,0
cor,3,0.617
none,2,0
cor,3,0.75
none,7,0
none,1,0
cor,3,0.9
none,7,0
none,7,0
cor,3,0.7
none,8,0
cor,3,0.833
none,8,0
none,8,0
none,5,0
cor,3,0.566
none,2,0
none,1,0
cor,3,0.699
none,5,0
none,5,0
none,4,0
cor,3,0.567
none,9,0
none,2,0
none,1,0
none,6,0
none,6,0
none,1,0
none,6,0
none,5,0
cor,3,0.7
none,6,0
none,4,0
none,2,0
none,7,0
none,6,0
none,8,0
cor,3,0.667
none,5,0
omi,3,0
none,7,0
none,9,0
none,1,0
none,1,0
cor,3,0.684
none,5,0
omi,3,0
delay,8,0.182
none,1,0
cor,3,0.55
none,4,0
cor,3,0.899
none,7,0
