RUUU,3.1638, 4.02, 5.0229, 3.8967, 4.3602, 2.9216
RRUU,3.4033, 7.7998, 1.6304, 5.8918, 3.4945, 3.4334, 2.9703
RRRU,3.8086, 3.2172, 2.7574, 2.2854, 5.7784, 1.8965, 1.7309
UUUR,4.1725, 5.7378, 6.757, 4.2666, 5.0199
UURR,3.2653, 1.9032, 6.1044, 4.1091, 3.3309, 4.0517, 2.0121
URRR,3.2577, 2.9318, 4.4823, 6.5234, 2.231, 3.0499, 2.9663
RURU,3.3858, 4.8607, 5.5195, 7.5059, 3.8226, 3.4417, 3.2091
URUR,4.169, 6.5343, 10.7942, 5.8429, 9.0732, 7.4528, 4.4615, 3.834, 4.793
URRU,3.8384, 4.651, 3.5929, 4.1999, 2.8766, 2.8789, 2.7139
UUUU,5.9314, 3.4841, 2.4947, 2.6404, 1.766, 3.6655, 2.1045, 2.031, 3.2068, 2.0485, 5.5301, 2.8162, 3.3029, 2.1292
UP1,3.2577, 3.8086, 2.9318, 4.4823, 6.5234, 2.231, 3.0499, 3.2172, 2.7574, 2.9663, 2.2854, 5.7784, 1.8965, 1.7309
UP2,3.8384, 3.2653, 1.9032, 4.169, 4.651, 6.1044, 4.1091, 6.5343, 10.7942, 3.4033, 7.7998, 3.3309, 1.6304, 3.3858, 5.8429, 4.8607, 9.0732, 5.8918, 5.5195, 7.4528, 4.4615, 7.5059, 3.5929, 3.4945, 3.8226, 4.1999, 3.4417, 3.2091, 4.0517, 2.8766, 3.834, 2.0121, 2.8789, 2.7139, 4.793, 3.4334, 2.9703
UP3,4.1725, 3.1638, 4.02, 5.7378, 5.0229, 3.8967, 4.3602, 6.757, 2.9216, 4.2666, 5.0199
UP4,5.9314, 3.4841, 2.4947, 2.6404, 1.766, 3.6655, 2.1045, 2.031, 3.2068, 2.0485, 5.5301, 2.8162, 3.3029, 2.1292
SW1,5.9314, 3.8086, 3.1638, 4.02, 3.4033, 7.7998, 3.2172, 2.7574, 1.6304, 3.4841, 2.2854, 5.0229, 3.8967, 5.8918, 2.4947, 4.3602, 3.4945, 5.7784, 1.8965, 2.6404, 2.9216, 1.7309, 3.4334, 2.9703, 1.766, 3.6655, 2.1045, 2.031, 3.2068, 2.0485, 5.5301, 2.8162, 3.3029, 2.1292
SW2,3.2577, 4.1725, 3.2653, 1.9032, 6.1044, 4.1091, 2.9318, 4.4823, 6.5234, 2.231, 3.0499, 3.3309, 2.9663, 5.7378, 6.757, 4.0517, 4.2666, 2.0121, 5.0199
SW3,3.8384, 4.651, 3.3858, 4.8607, 5.5195, 7.5059, 3.5929, 3.8226, 4.1999, 3.4417, 3.2091, 2.8766, 2.8789, 2.7139
SW4,4.169, 6.5343, 10.7942, 5.8429, 9.0732, 7.4528, 4.4615, 3.834, 4.793
