block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	692	2	0
0	1	1	0	2	1	529	1	0
0	2	1	0	2	1	579	3	0
0	3	1	1	2	0	0	0	100
0	4	1	0	2	1	433	16	0
0	5	1	0	2	1	401	1	0
0	6	1	0	2	1	423	2	0
0	7	1	0	2	1	370	2	0
0	8	2	0	2	2	512	1	0
0	9	1	0	2	1	419	1	0
0	10	2	1	2	0	0	0	150
0	11	1	1	0	1	627	3	200
0	12	2	0	2	2	566	2	0
0	13	1	0	2	1	557	2	0
0	14	1	0	2	1	518	2	0
0	15	1	0	2	1	357	1	0
0	16	2	0	2	2	526	2	0
0	17	2	0	2	2	587	1	0
0	18	2	1	0	2	582	2	150
0	19	1	0	2	1	533	1	0
0	20	1	0	2	1	455	1	0
0	21	2	0	2	2	473	1	0
0	22	1	0	2	1	396	1	0
0	23	1	0	0	2	381	1	0
0	24	2	1	2	0	0	0	100
0	25	2	0	2	2	667	1	0
0	26	2	0	2	2	416	1	0
0	27	2	0	2	2	420	1	0
0	28	2	0	2	2	400	2	0
0	29	2	0	2	2	332	35	0
0	30	2	1	0	2	353	2	150
0	31	1	1	2	0	0	0	100
0	32	2	1	2	0	0	0	150
0	33	2	0	0	1	601	2	0
0	34	1	0	2	1	655	1	0
0	35	1	0	2	1	570	17	0
0	36	2	1	2	0	0	0	200
0	37	1	0	2	1	651	1	0
0	38	2	0	2	2	727	1	0
0	39	2	0	2	2	561	1	0
0	40	1	1	0	1	416	1	250
0	41	2	0	2	2	924	2	0
0	42	2	0	2	2	486	2	0
0	43	2	0	2	2	581	2	0
0	44	2	1	0	2	462	2	200
0	45	1	1	2	0	0	0	150
0	46	1	0	2	1	614	1	0
0	47	1	0	2	1	601	1	0
0	48	1	0	2	1	519	2	0
0	49	1	0	2	1	435	1	0
0	50	2	0	0	1	407	1	0
0	51	2	0	2	2	696	2	0
0	52	2	0	2	2	435	2	0
0	53	2	0	2	2	398	2	0
0	54	1	1	0	1	660	2	200
0	55	2	0	2	2	731	1	0
0	56	1	1	2	0	0	0	150
0	57	2	0	2	2	497	1	0
0	58	2	1	2	0	0	0	200
0	59	1	0	2	1	460	2	0
0	60	1	0	2	1	495	1	0
0	61	1	1	0	1	452	1	250
0	62	2	0	2	2	778	1	0
0	63	1	0	2	1	419	2	0
1	0	2	1	0	2	755	2	200
1	1	2	0	2	2	571	1	0
1	2	2	0	2	2	394	2	0
