RUUU,8.1371, 5.8389, 8.7743, 5.6469
RRUU,10.1522, 5.9899, 4.7925, 3.9419, 3.7678
RRRU,7.3675, 4.9983, 8.7348, 5.088, 5.8145, 7.1864, 2.9342
UUUR,7.3268, 8.6064, 3.9461, 5.9802, 7.1101, 7.705
UURR,9.9095, 10.2716, 9.7913
URRR,11.748, 13.559, 19.0322, 12.1626, 3.2876
RURU,12.4184, 7.7372, 10.9839, 8.1834, 7.2771, 9.3351
URUR,17.5198, 9.2135, 7.8233, 16.8706, 11.1035
URRU,9.7107, 11.9108, 6.7985
UUUU,5.1637, 9.2336, 6.4071, 6.6869, 5.3492, 4.3426, 2.935, 8.3668, 2.4547, 4.9821
UP1,7.3675, 11.748, 4.9983, 13.559, 8.7348, 19.0322, 5.088, 12.1626, 3.2876, 5.8145, 7.1864, 2.9342
UP2,12.4184, 7.7372, 10.1522, 9.9095, 17.5198, 9.2135, 7.8233, 10.9839, 5.9899, 8.1834, 16.8706, 10.2716, 9.7107, 11.9108, 9.7913, 7.2771, 4.7925, 3.9419, 3.7678, 6.7985, 9.3351, 11.1035
UP3,7.3268, 8.6064, 3.9461, 8.1371, 5.8389, 5.9802, 7.1101, 7.705, 8.7743, 5.6469
UP4,5.1637, 9.2336, 6.4071, 6.6869, 5.3492, 4.3426, 2.935, 8.3668, 2.4547, 4.9821
SW1,7.3675, 8.1371, 5.1637, 10.1522, 5.8389, 9.2336, 4.9983, 5.9899, 8.7348, 6.4071, 5.088, 5.8145, 8.7743, 6.6869, 7.1864, 2.9342, 5.3492, 4.3426, 4.7925, 3.9419, 3.7678, 5.6469, 2.935, 8.3668, 2.4547, 4.9821
SW2,7.3268, 8.6064, 3.9461, 11.748, 5.9802, 9.9095, 7.1101, 7.705, 13.559, 19.0322, 10.2716, 12.1626, 3.2876, 9.7913
SW3,12.4184, 7.7372, 10.9839, 8.1834, 9.7107, 11.9108, 7.2771, 6.7985, 9.3351
SW4,17.5198, 9.2135, 7.8233, 16.8706, 11.1035
