148.8381 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
148.8546 	EXP 	msgFeedback: autoDraw = False
148.8546 	EXP 	msgFeedback: autoDraw = False
148.8546 	EXP 	stimuli: color = u'blue (named)'
148.8546 	EXP 	stimuli: text = u'green'
148.8546 	EXP 	hint: autoDraw = True
149.3674 	EXP 	stimuli: autoDraw = True
150.6495 	DATA 	Keypress: right
151.0469 	EXP 	stimuli: autoDraw = False
151.0469 	EXP 	hint: autoDraw = False
151.0469 	EXP 	msgFeedback: text = 'Correct! RT=1.292'
151.0469 	EXP 	msgFeedback: autoDraw = True
152.1668 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
152.1842 	EXP 	msgFeedback: autoDraw = False
152.1842 	EXP 	msgFeedback: autoDraw = False
152.1842 	EXP 	stimuli: color = u'green (named)'
152.1842 	EXP 	stimuli: text = u'green'
152.1842 	EXP 	hint: autoDraw = True
152.6970 	EXP 	stimuli: autoDraw = True
153.4647 	DATA 	Keypress: down
153.8620 	EXP 	stimuli: autoDraw = False
153.8620 	EXP 	hint: autoDraw = False
153.8620 	EXP 	msgFeedback: text = 'Correct! RT=0.769'
153.8620 	EXP 	msgFeedback: autoDraw = True
154.9798 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
154.9958 	EXP 	msgFeedback: autoDraw = False
154.9958 	EXP 	msgFeedback: autoDraw = False
154.9958 	EXP 	stimuli: color = u'green (named)'
154.9958 	EXP 	stimuli: text = u'green'
154.9958 	EXP 	hint: autoDraw = True
155.5106 	EXP 	stimuli: autoDraw = True
156.3729 	DATA 	Keypress: down
156.8305 	EXP 	stimuli: autoDraw = False
156.8305 	EXP 	hint: autoDraw = False
156.8305 	EXP 	msgFeedback: text = 'Correct! RT=0.863'
156.8305 	EXP 	msgFeedback: autoDraw = True
157.8764 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
158.0137 	EXP 	msgFeedback: autoDraw = False
158.0137 	EXP 	msgFeedback: autoDraw = False
158.0137 	EXP 	stimuli: color = u'red (named)'
158.0137 	EXP 	stimuli: text = u'red'
158.0137 	EXP 	hint: autoDraw = True
