word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
blue,blue,1,right,0,0,0,4,,,,,right,1,5.28709255009,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,red,1,left,0,1,1,1,,,,,left,1,0.500910473135,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,red,0,left,0,2,2,8,,,,,left,1,0.917719857095,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,green,1,down,0,3,3,3,,,,,down,1,0.367437705932,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,blue,1,right,0,4,4,5,,,,,right,1,0.534467830093,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,green,0,down,0,5,5,10,,,,,down,1,0.683854989156,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,green,0,down,0,6,6,6,,,,,left,0,0.834016200064,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,red,1,left,0,7,7,0,,,,,left,1,0.683238598701,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,green,0,down,0,8,8,7,,,,,down,1,0.734279548752,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,green,1,down,0,9,9,2,,,,,down,1,0.566361617064,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,blue,0,right,0,10,10,9,,,,,right,1,0.667643806146,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,red,0,left,0,11,11,11,,,,,left,1,0.934730751127,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,green,1,down,1,0,12,2,,,,,down,1,0.450903587923,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,blue,0,right,1,1,13,9,,,,,right,1,0.434288130321,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,red,0,left,1,2,14,11,,,,,left,1,0.634162286313,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,red,1,left,1,3,15,1,,,,,left,1,0.783743029613,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,green,1,down,1,4,16,3,,,,,down,1,0.451376572088,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
green,red,0,left,1,5,17,8,,,,,left,1,0.967112632668,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,blue,1,right,1,6,18,5,,,,,right,1,0.516888442736,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,green,0,down,1,7,19,6,,,,,left,0,0.567246003369,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,green,0,down,1,8,20,10,,,,,down,1,0.451038726256,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
red,green,0,down,1,9,21,7,,,,,down,1,0.550377660322,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
blue,blue,1,right,1,10,22,4,,,,,right,1,0.784399049242,,,2018_Dec_20_1410,59.9838048787,Stroop,follow,1006,
