block	trial	stimulus	signal	correct	respons	rt	re	ssd
2	25	1	0	2	1	565	0	0
2	26	1	0	2	1	570	0	0
2	27	2	0	2	2	671	-11	0
2	28	2	0	2	2	595	0	0
2	29	1	1	0	1	808	0	500
2	30	1	0	2	1	597	0	0
2	31	2	1	2	0	0	0	450
2	32	1	0	2	1	694	0	0
2	33	2	1	0	2	771	0	500
2	34	2	1	2	0	0	0	450
2	35	2	0	2	2	804	0	0
2	36	2	0	2	2	657	0	0
2	37	2	0	2	2	717	0	0
2	38	1	0	2	1	626	0	0
2	39	1	0	2	1	727	0	0
2	40	1	0	2	1	635	0	0
2	41	1	0	2	1	984	0	0
2	42	2	0	2	2	901	0	0
2	43	1	0	2	1	1081	0	0
2	44	2	0	0	0	0	0	0
2	45	1	1	2	0	0	0	500
2	46	2	1	0	2	656	0	550
2	47	2	1	2	0	0	0	500
2	48	2	0	2	2	657	11	0
2	49	2	0	2	2	566	0	0
2	50	1	0	2	1	658	12	0
2	51	1	0	2	1	615	11	0
2	52	1	1	0	1	636	0	550
2	53	2	0	2	2	712	0	0
2	54	1	1	2	0	0	0	500
2	55	1	0	2	1	762	0	0
2	56	1	1	0	1	694	11	550
2	57	2	0	2	2	635	0	0
2	58	1	0	2	1	944	11	0
2	59	1	0	2	1	852	0	0
2	60	2	0	2	2	1169	0	0
2	61	1	0	0	0	0	0	0
2	62	2	0	0	0	0	0	0
2	63	1	0	2	1	807	13	0
