block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	484	1	0
0	1	2	0	2	2	470	2	0
0	2	1	0	2	1	534	1	0
0	3	1	0	2	1	446	2	0
0	4	2	0	2	2	564	2	0
0	5	1	0	2	1	509	2	0
0	6	1	1	0	1	586	1	450
0	7	2	0	2	2	713	1	0
0	8	2	0	2	2	675	1	0
0	9	1	0	2	1	575	1	0
0	10	1	1	2	0	0	0	400
0	11	1	0	2	1	595	1	0
0	12	2	1	0	2	507	2	450
0	13	2	0	2	2	707	2	0
0	14	1	0	2	1	806	1	0
0	15	2	0	2	2	645	1	0
0	16	1	0	2	1	537	17	0
0	17	2	0	2	2	527	1	0
0	18	2	0	2	2	602	1	0
0	19	1	0	2	1	506	1	0
0	20	2	0	2	2	482	1	0
0	21	2	1	2	0	0	0	400
0	22	1	0	2	1	504	1	0
0	23	2	0	2	2	650	1	0
0	24	2	1	0	2	631	1	450
0	25	2	1	2	0	0	0	400
0	26	2	0	2	2	704	1	0
0	27	1	0	2	1	496	1	0
0	28	1	1	2	0	0	0	450
0	29	2	0	2	2	763	1	0
0	30	2	0	2	2	753	1	0
0	31	2	0	2	2	685	1	0
0	32	2	0	2	2	784	2	0
0	33	1	0	2	1	708	1	0
0	34	1	0	2	1	711	1	0
0	35	1	0	2	1	825	2	0
0	36	2	0	2	2	653	1	0
0	37	1	0	2	1	734	1	0
0	38	1	1	2	0	0	0	500
0	39	1	1	0	1	738	44	550
0	40	1	0	2	1	823	1	0
0	41	1	0	2	1	802	1	0
0	42	2	0	2	2	792	1	0
0	43	1	0	2	1	705	39	0
0	44	2	1	0	2	612	128	500
0	45	2	0	2	2	962	1	0
0	46	1	0	2	1	686	1	0
0	47	2	0	2	2	1159	2	0
0	48	1	0	2	1	595	1	0
0	49	2	1	0	2	632	2	450
0	50	2	0	2	2	611	1	0
0	51	1	0	2	1	687	1	0
0	52	1	0	2	1	625	2	0
0	53	1	1	2	0	0	0	400
0	54	2	0	2	2	661	1	0
0	55	1	1	2	0	0	0	450
0	56	1	0	2	1	686	1	0
0	57	2	0	2	2	596	1	0
0	58	1	0	2	1	768	1	0
0	59	2	1	0	2	703	2	500
0	60	1	0	2	1	660	1	0
0	61	2	0	2	2	841	1	0
0	62	1	1	0	1	601	2	450
0	63	2	1	2	0	0	0	400
1	0	1	0	2	1	554	34	0
1	1	2	0	2	2	830	1	0
1	2	2	0	2	2	779	1	0
1	3	1	0	2	1	620	1	0
1	4	2	0	2	2	692	2	0
1	5	2	0	2	2	724	1	0
1	6	1	0	2	1	517	1	0
1	7	2	1	0	2	570	1	450
1	8	2	0	2	2	766	1	0
1	9	1	0	2	1	750	1	0
1	10	1	0	2	1	613	1	0
1	11	1	0	2	1	698	1	0
1	12	2	1	2	0	0	0	400
1	13	1	1	0	1	453	2	450
1	14	2	0	2	2	624	2	0
1	15	1	0	2	1	596	1	0
1	16	2	1	2	0	0	0	400
1	17	2	0	2	2	659	-1	0
1	18	1	1	0	1	578	1	450
1	19	2	0	2	2	590	2	0
1	20	2	0	2	2	867	2	0
1	21	1	0	2	1	786	1	0
1	22	1	0	2	1	623	1	0
1	23	1	0	2	1	774	2	0
1	24	1	1	2	0	0	0	400
1	25	1	0	2	1	670	2	0
1	26	1	0	2	1	680	1	0
1	27	1	0	2	1	771	1	0
1	28	2	0	2	2	867	2	0
1	29	2	0	2	2	593	1	0
1	30	1	0	2	1	535	1	0
1	31	1	0	2	1	677	2	0
1	32	1	0	2	1	623	1	0
1	33	2	0	2	2	556	1	0
1	34	1	0	2	1	579	2	0
1	35	2	1	0	2	498	2	450
1	36	2	0	2	2	704	1	0
1	37	1	1	0	1	599	1	400
1	38	1	1	2	0	0	0	350
1	39	2	0	2	2	726	1	0
1	40	2	0	2	2	897	1	0
1	41	2	0	2	2	840	2	0
1	42	1	0	2	1	718	2	0
1	43	1	1	2	0	0	0	400
1	44	2	0	2	2	629	2	0
1	45	2	1	0	2	617	1	450
1	46	2	1	2	0	0	0	400
1	47	2	0	2	2	751	1	0
1	48	2	1	2	0	0	0	450
1	49	1	0	2	1	792	1	0
1	50	1	0	2	1	768	17	0
1	51	1	0	2	1	656	2	0
1	52	1	0	2	1	657	1	0
1	53	2	0	2	2	574	1	0
1	54	1	1	0	1	634	2	500
1	55	2	0	2	2	754	2	0
1	56	2	0	2	2	760	1	0
1	57	1	0	2	1	773	2	0
1	58	2	0	2	2	662	1	0
1	59	2	0	2	2	694	2	0
1	60	1	1	2	0	0	0	450
1	61	2	0	2	2	589	2	0
1	62	1	0	2	1	661	1	0
1	63	2	1	0	2	583	3	500
2	0	1	1	2	0	0	0	450
2	1	2	0	2	2	615	1	0
2	2	2	0	2	2	636	1	0
2	3	2	0	2	2	856	1	0
2	4	2	1	0	2	617	1	500
2	5	2	1	0	2	625	1	450
2	6	1	0	2	1	825	2	0
2	7	2	0	2	2	823	1	0
2	8	1	0	2	1	898	1	0
2	9	2	1	2	0	0	0	400
2	10	1	0	2	1	714	1	0
2	11	1	0	2	1	808	2	0
2	12	1	0	2	1	737	1	0
2	13	1	1	2	0	0	0	450
2	14	2	0	2	2	714	1	0
2	15	2	0	2	2	428	1	0
2	16	1	0	2	1	582	1	0
2	17	1	0	2	1	722	2	0
2	18	1	0	2	1	693	2	0
2	19	2	0	2	2	632	1	0
2	20	2	1	0	2	670	2	500
2	21	1	0	2	1	772	1	0
2	22	1	1	2	0	0	0	450
2	23	2	0	2	2	781	1	0
2	24	1	1	2	0	0	0	500
2	25	2	0	2	2	736	2	0
2	26	1	0	2	1	903	1	0
2	27	2	1	2	0	0	0	550
2	28	2	0	2	2	821	1	0
2	29	1	1	0	1	723	3	600
2	30	1	1	2	0	0	0	550
2	31	1	0	2	1	776	2	0
2	32	1	0	2	1	624	1	0
2	33	1	0	2	1	550	1	0
2	34	1	0	2	1	629	1	0
2	35	2	1	0	2	822	1	600
2	36	2	0	2	2	902	2	0
2	37	1	0	2	1	679	1	0
2	38	2	0	2	2	569	2	0
2	39	2	0	2	2	668	2	0
2	40	2	0	2	2	772	2	0
2	41	1	0	2	1	752	1	0
2	42	1	1	2	0	0	0	550
2	43	2	0	2	2	879	1	0
2	44	2	0	2	2	780	1	0
2	45	1	0	2	1	659	1	0
2	46	2	1	2	0	0	0	600
2	47	1	1	0	1	762	1	650
2	48	2	0	2	2	1011	1	0
2	49	2	0	2	2	1105	1	0
2	50	2	0	2	2	860	2	0
2	51	1	0	2	1	984	1	0
2	52	2	0	2	2	1037	2	0
2	53	1	0	2	1	1085	1	0
2	54	2	0	2	2	1008	1	0
2	55	2	0	2	2	1150	2	0
2	56	1	0	0	0	0	0	0
2	57	2	1	2	0	0	0	600
2	58	1	0	2	1	1029	2	0
2	59	1	0	2	1	721	1	0
2	60	1	0	2	1	749	2	0
2	61	1	0	2	1	574	2	0
2	62	2	0	2	2	702	2	0
2	63	2	0	2	2	680	1	0
