# type,stim,RT
cor,3,0.832
none,9,0
none,6,0
none,1,0
none,9,0
none,9,0
cor,3,0.549
none,1,0
none,9,0
none,4,0
cor,3,0.533
none,8,0
none,7,0
none,5,0
none,7,0
cor,3,0.516
none,5,0
cor,3,0.767
none,2,0
none,7,0
cor,3,0.433
none,6,0
none,9,0
none,5,0
none,2,0
cor,3,0.484
none,4,0
none,4,0
cor,3,0.318
none,9,0
none,6,0
none,7,0
cor,3,0.434
none,8,0
cor,3,0.567
none,7,0
none,4,0
none,7,0
none,1,0
none,5,0
none,8,0
none,2,0
cor,3,0.599
none,2,0
cor,3,0.816
none,4,0
none,1,0
none,8,0
none,6,0
none,9,0
cor,3,0.516
none,2,0
cor,3,0.716
none,7,0
none,6,0
none,7,0
cor,3,0.583
none,7,0
com,5,0.767
omi,3,0
none,4,0
none,8,0
none,9,0
cor,3,0.483
none,2,0
none,8,0
none,8,0
none,9,0
cor,3,0.683
none,5,0
omi,3,0
delay,1,0.434
none,4,0
none,5,0
cor,3,0.549
none,1,0
none,9,0
none,8,0
none,2,0
none,9,0
cor,3,0.482
none,8,0
none,4,0
cor,3,0.866
none,8,0
none,4,0
none,2,0
none,8,0
none,9,0
cor,3,0.699
none,8,0
none,2,0
none,4,0
cor,3,0.466
none,4,0
none,9,0
cor,3,0.849
none,4,0
cor,3,0.599
none,8,0
none,1,0
cor,3,0.616
none,5,0
none,2,0
none,6,0
cor,3,0.533
none,8,0
none,1,0
none,6,0
none,7,0
omi,3,0
delay,1,0.151
none,8,0
none,9,0
cor,3,0.683
none,1,0
none,5,0
none,6,0
cor,3,0.816
none,8,0
cor,3,0.882
none,4,0
none,6,0
none,5,0
none,1,0
cor,3,0.733
none,4,0
none,5,0
cor,3,0.65
none,5,0
omi,3,0
delay,2,0.234
none,8,0
none,6,0
none,2,0
none,5,0
none,8,0
none,5,0
none,6,0
cor,3,0.75
none,4,0
cor,3,0.899
none,6,0
none,5,0
cor,3,0.482
none,9,0
none,4,0
none,1,0
none,7,0
cor,3,0.568
none,9,0
none,4,0
none,1,0
cor,3,0.799
none,8,0
none,4,0
none,6,0
cor,3,0.432
none,5,0
none,9,0
none,6,0
cor,3,0.35
none,7,0
none,2,0
cor,3,0.832
none,2,0
cor,3,0.665
none,5,0
none,4,0
none,8,0
cor,3,0.567
none,9,0
cor,3,0.433
none,4,0
none,9,0
none,8,0
none,2,0
none,6,0
none,9,0
none,8,0
none,9,0
cor,3,0.55
none,4,0
none,6,0
cor,3,0.816
none,9,0
none,9,0
none,4,0
cor,3,0.599
none,8,0
none,9,0
cor,3,0.617
none,4,0
cor,3,0.533
none,9,0
none,4,0
none,9,0
cor,3,0.499
none,2,0
none,7,0
none,1,0
cor,3,0.515
none,6,0
none,5,0
cor,3,0.666
none,2,0
none,8,0
none,9,0
none,9,0
none,9,0
