# type,stim,RT
omi,3,0
none,6,0
none,4,0
cor,3,0.665
none,5,0
cor,3,0.6
none,2,0
none,1,0
none,8,0
none,8,0
none,4,0
none,2,0
cor,3,0.649
none,1,0
omi,3,0
none,4,0
cor,3,0.666
none,4,0
none,4,0
none,4,0
none,1,0
none,1,0
none,9,0
none,9,0
none,5,0
cor,3,0.699
none,1,0
none,6,0
none,6,0
omi,3,0
delay,1,0.433
none,8,0
omi,3,0
none,7,0
none,9,0
none,2,0
cor,3,0.599
none,8,0
none,7,0
cor,3,0.899
none,5,0
none,4,0
none,2,0
cor,3,0.599
none,2,0
cor,3,0.749
none,5,0
none,2,0
none,8,0
cor,3,0.649
none,2,0
none,9,0
none,6,0
none,4,0
none,6,0
none,1,0
cor,3,0.649
none,4,0
none,1,0
cor,3,0.632
none,1,0
none,6,0
none,7,0
none,4,0
none,9,0
none,5,0
none,7,0
cor,3,0.749
none,2,0
omi,3,0
delay,7,0.182
cor,3,0.616
none,6,0
none,2,0
omi,3,0
none,9,0
none,4,0
none,7,0
none,6,0
cor,3,0.598
none,5,0
none,9,0
cor,3,0.816
none,4,0
none,2,0
none,6,0
none,9,0
none,5,0
cor,3,0.583
none,7,0
none,6,0
cor,3,0.699
none,6,0
none,1,0
cor,3,0.816
none,4,0
none,9,0
none,6,0
none,1,0
cor,3,0.666
none,9,0
none,9,0
none,6,0
none,5,0
none,6,0
none,8,0
cor,3,0.633
none,8,0
cor,3,0.849
none,5,0
omi,3,0
delay,9,0.25
none,4,0
cor,3,0.616
none,5,0
none,8,0
none,7,0
cor,3,0.583
none,5,0
cor,3,0.716
none,1,0
none,8,0
none,9,0
cor,3,0.416
none,6,0
none,1,0
none,9,0
cor,3,0.483
none,8,0
none,2,0
none,8,0
cor,3,0.566
none,5,0
none,6,0
none,5,0
cor,3,0.748
none,8,0
none,1,0
cor,3,0.683
none,9,0
none,8,0
none,5,0
none,5,0
none,6,0
cor,3,0.782
none,9,0
none,2,0
none,9,0
cor,3,0.55
none,2,0
none,9,0
cor,3,0.699
none,6,0
cor,3,0.783
none,9,0
none,9,0
none,8,0
cor,3,0.666
none,4,0
cor,3,0.881
none,8,0
none,2,0
none,1,0
none,6,0
none,4,0
cor,3,0.666
none,6,0
none,4,0
cor,3,0.732
none,6,0
none,7,0
none,5,0
none,1,0
cor,3,0.649
none,9,0
none,8,0
none,5,0
none,2,0
none,6,0
none,8,0
none,4,0
none,4,0
none,6,0
none,7,0
cor,3,0.765
none,6,0
omi,3,0
delay,7,0.266
none,4,0
cor,3,0.731
none,8,0
omi,3,0
none,5,0
none,1,0
cor,3,0.549
none,1,0
none,5,0
none,7,0
cor,3,0.616
none,1,0
none,8,0
cor,3,0.716
none,4,0
none,4,0
none,8,0
cor,3,0.566
none,7,0
none,2,0
none,5,0
