# type,stim,RT
none,4,0
none,8,0
none,1,0
none,5,0
cor,3,0.599
none,5,0
none,2,0
none,2,0
cor,3,0.6
none,9,0
none,7,0
cor,3,0.699
none,7,0
none,1,0
none,4,0
none,8,0
cor,3,0.65
none,6,0
omi,3,0
none,1,0
cor,3,0.649
none,6,0
none,8,0
cor,3,0.615
none,6,0
none,5,0
none,1,0
cor,3,0.532
none,6,0
none,4,0
none,2,0
none,4,0
none,9,0
cor,3,0.633
none,6,0
none,9,0
cor,3,0.599
none,2,0
none,8,0
none,7,0
none,2,0
cor,3,0.499
none,9,0
cor,3,0.7
none,7,0
none,8,0
cor,3,0.6
none,4,0
none,5,0
none,5,0
none,2,0
cor,3,0.566
none,5,0
none,6,0
cor,3,0.599
none,4,0
none,1,0
cor,3,0.616
none,6,0
none,6,0
none,8,0
none,4,0
none,9,0
none,7,0
none,7,0
none,1,0
cor,3,0.632
none,8,0
none,7,0
cor,3,0.649
none,2,0
cor,3,0.733
none,2,0
none,4,0
cor,3,0.683
none,6,0
none,2,0
none,7,0
cor,3,0.915
none,7,0
none,9,0
cor,3,0.582
none,9,0
none,8,0
cor,3,0.566
none,4,0
none,8,0
none,8,0
none,5,0
cor,3,0.632
none,8,0
none,6,0
none,2,0
none,5,0
cor,3,0.583
none,6,0
none,9,0
none,9,0
cor,3,0.666
none,9,0
cor,3,0.698
none,8,0
none,7,0
omi,3,0
none,1,0
none,2,0
none,9,0
cor,3,0.6
none,7,0
none,5,0
cor,3,0.616
none,4,0
none,4,0
none,1,0
none,8,0
cor,3,0.517
none,5,0
none,7,0
none,1,0
none,1,0
cor,3,0.567
none,1,0
none,4,0
none,1,0
none,6,0
cor,3,0.616
none,1,0
none,5,0
none,6,0
none,4,0
none,7,0
none,5,0
cor,3,0.582
none,2,0
cor,3,0.784
none,2,0
cor,3,0.634
none,4,0
none,7,0
none,5,0
none,5,0
cor,3,0.632
none,4,0
none,6,0
cor,3,0.649
none,6,0
none,4,0
none,8,0
cor,3,0.616
none,9,0
cor,3,0.749
none,6,0
none,6,0
none,5,0
none,6,0
none,6,0
none,7,0
cor,3,0.565
none,8,0
none,8,0
omi,3,0
none,1,0
none,2,0
none,5,0
none,2,0
cor,3,0.482
none,1,0
none,4,0
none,6,0
cor,3,0.583
none,7,0
none,8,0
cor,3,0.65
none,6,0
none,1,0
none,1,0
none,9,0
cor,3,0.666
none,9,0
cor,3,0.749
none,1,0
none,2,0
cor,3,0.833
none,4,0
none,6,0
none,4,0
none,7,0
none,8,0
none,1,0
cor,3,0.649
none,9,0
none,6,0
cor,3,0.833
none,4,0
none,2,0
none,5,0
none,9,0
cor,3,0.767
none,4,0
none,6,0
cor,3,0.783
none,1,0
omi,3,0
none,6,0
none,9,0
cor,3,0.515
none,8,0
none,2,0
cor,3,0.715
none,8,0
none,2,0
none,4,0
none,1,0
cor,3,0.566
none,7,0
none,1,0
none,7,0
none,6,0
none,7,0
none,9,0
cor,3,0.699
none,7,0
none,5,0
omi,3,0
none,1,0
none,1,0
cor,3,0.666
none,7,0
none,9,0
none,2,0
none,8,0
none,7,0
cor,3,0.632
none,1,0
none,9,0
none,4,0
none,9,0
cor,3,0.782
none,2,0
none,7,0
omi,3,0
none,6,0
omi,3,0
none,2,0
none,5,0
cor,3,0.549
none,5,0
none,9,0
none,4,0
none,6,0
none,6,0
cor,3,0.7
none,6,0
none,6,0
cor,3,0.616
none,6,0
none,4,0
cor,3,0.549
none,2,0
none,9,0
none,6,0
none,2,0
cor,3,0.65
none,1,0
