128.1562 	EXP 	msgFeedback: autoDraw = True
129.2795 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
129.4582 	EXP 	msgFeedback: autoDraw = False
129.4582 	EXP 	stimuli: color = u'red (named)'
129.4582 	EXP 	stimuli: text = u'green'
129.4582 	EXP 	hint: autoDraw = True
129.8110 	EXP 	stimuli: autoDraw = True
130.1660 	DATA 	Keypress: left
130.5849 	EXP 	stimuli: autoDraw = False
130.5849 	EXP 	hint: autoDraw = False
130.5849 	EXP 	msgFeedback: text = 'Correct! RT=0.375'
130.5849 	EXP 	msgFeedback: autoDraw = True
131.6938 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
131.7097 	EXP 	msgFeedback: autoDraw = False
131.7097 	EXP 	msgFeedback: autoDraw = False
131.7097 	EXP 	stimuli: color = u'green (named)'
131.7097 	EXP 	stimuli: text = u'green'
131.7097 	EXP 	hint: autoDraw = True
132.2247 	EXP 	stimuli: autoDraw = True
132.6373 	DATA 	Keypress: down
133.0359 	EXP 	stimuli: autoDraw = False
133.0359 	EXP 	hint: autoDraw = False
133.0359 	EXP 	msgFeedback: text = 'Correct! RT=0.422'
133.0359 	EXP 	msgFeedback: autoDraw = True
134.1575 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
134.2937 	EXP 	msgFeedback: autoDraw = False
134.2937 	EXP 	msgFeedback: autoDraw = False
134.2937 	EXP 	stimuli: color = u'red (named)'
134.2937 	EXP 	stimuli: text = u'red'
134.2937 	EXP 	hint: autoDraw = True
134.6889 	EXP 	stimuli: autoDraw = True
135.1446 	DATA 	Keypress: left
135.5398 	EXP 	stimuli: autoDraw = False
135.5398 	EXP 	hint: autoDraw = False
135.5398 	EXP 	msgFeedback: text = 'Correct! RT=0.466'
135.5398 	EXP 	msgFeedback: autoDraw = True
136.6697 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
136.8473 	EXP 	msgFeedback: autoDraw = False
136.8473 	EXP 	stimuli: color = u'green (named)'
136.8473 	EXP 	stimuli: text = u'green'
136.8473 	EXP 	hint: autoDraw = True
137.2012 	EXP 	stimuli: autoDraw = True
137.7192 	DATA 	Keypress: down
138.1129 	EXP 	stimuli: autoDraw = False
138.1129 	EXP 	hint: autoDraw = False
138.1129 	EXP 	msgFeedback: text = 'Correct! RT=0.519'
138.1129 	EXP 	msgFeedback: autoDraw = True
139.2338 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
139.3699 	EXP 	msgFeedback: autoDraw = False
139.3699 	EXP 	msgFeedback: autoDraw = False
139.3699 	EXP 	stimuli: color = u'red (named)'
139.3699 	EXP 	stimuli: text = u'red'
139.3699 	EXP 	hint: autoDraw = True
139.7652 	EXP 	stimuli: autoDraw = True
140.2145 	DATA 	Keypress: left
140.6124 	EXP 	stimuli: autoDraw = False
140.6124 	EXP 	hint: autoDraw = False
140.6124 	EXP 	msgFeedback: text = 'Correct! RT=0.459'
140.6124 	EXP 	msgFeedback: autoDraw = True
141.7310 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
141.7487 	EXP 	msgFeedback: autoDraw = False
141.7487 	EXP 	msgFeedback: autoDraw = False
141.7487 	EXP 	stimuli: color = u'green (named)'
141.7487 	EXP 	stimuli: text = u'red'
141.7487 	EXP 	hint: autoDraw = True
142.2611 	EXP 	stimuli: autoDraw = True
142.5940 	DATA 	Keypress: down
142.9837 	EXP 	stimuli: autoDraw = False
142.9837 	EXP 	hint: autoDraw = False
142.9837 	EXP 	msgFeedback: text = 'Correct! RT=0.334'
142.9837 	EXP 	msgFeedback: autoDraw = True
144.1099 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
144.2634 	EXP 	msgFeedback: autoDraw = False
144.2634 	EXP 	stimuli: color = u'blue (named)'
144.2634 	EXP 	stimuli: text = u'blue'
144.2634 	EXP 	hint: autoDraw = True
144.6425 	EXP 	stimuli: autoDraw = True
145.2401 	DATA 	Keypress: right
145.6399 	EXP 	stimuli: autoDraw = False
145.6399 	EXP 	hint: autoDraw = False
145.6399 	EXP 	msgFeedback: text = 'Correct! RT=0.607'
145.6399 	EXP 	msgFeedback: autoDraw = True
146.7574 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
146.7731 	EXP 	msgFeedback: autoDraw = False
146.7731 	EXP 	msgFeedback: autoDraw = False
146.7731 	EXP 	stimuli: color = u'blue (named)'
146.7731 	EXP 	stimuli: text = u'blue'
146.7731 	EXP 	hint: autoDraw = True
147.2864 	EXP 	stimuli: autoDraw = True
147.6102 	DATA 	Keypress: right
148.0076 	EXP 	stimuli: autoDraw = False
148.0076 	EXP 	hint: autoDraw = False
148.0076 	EXP 	msgFeedback: text = 'Correct! RT=0.336'
148.0076 	EXP 	msgFeedback: autoDraw = True
149.1367 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
149.3056 	EXP 	msgFeedback: autoDraw = False
149.3056 	EXP 	stimuli: color = u'blue (named)'
149.3056 	EXP 	stimuli: text = u'green'
149.3056 	EXP 	hint: autoDraw = True
149.6688 	EXP 	stimuli: autoDraw = True
150.1941 	DATA 	Keypress: down
150.5569 	EXP 	stimuli: autoDraw = False
150.5569 	EXP 	hint: autoDraw = False
150.5569 	EXP 	msgFeedback: text = 'Not the key...'
150.5569 	EXP 	msgFeedback: autoDraw = True
151.7171 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
151.8622 	EXP 	msgFeedback: autoDraw = False
151.8622 	EXP 	stimuli: color = u'red (named)'
151.8622 	EXP 	stimuli: text = u'red'
151.8622 	EXP 	hint: autoDraw = True
152.2488 	EXP 	stimuli: autoDraw = True
153.0365 	DATA 	Keypress: left
153.4331 	EXP 	stimuli: autoDraw = False
153.4331 	EXP 	hint: autoDraw = False
153.4331 	EXP 	msgFeedback: text = 'Correct! RT=0.799'
153.4331 	EXP 	msgFeedback: autoDraw = True
