150.5509 	EXP 	msgFeedback: autoDraw = True
151.5869 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
151.8119 	EXP 	msgFeedback: autoDraw = False
151.8119 	EXP 	stimuli: color = u'red (named)'
151.8119 	EXP 	stimuli: text = u'green'
151.8119 	EXP 	hint: autoDraw = True
152.1330 	EXP 	stimuli: autoDraw = True
153.6957 	DATA 	Keypress: down
154.1544 	EXP 	stimuli: autoDraw = False
154.1544 	EXP 	hint: autoDraw = False
154.1544 	EXP 	msgFeedback: text = 'Not the key...'
154.1544 	EXP 	msgFeedback: autoDraw = True
155.2063 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
155.3975 	EXP 	msgFeedback: autoDraw = False
155.3975 	EXP 	msgFeedback: autoDraw = False
155.3975 	EXP 	stimuli: color = u'green (named)'
155.3975 	EXP 	stimuli: text = u'red'
155.3975 	EXP 	hint: autoDraw = True
155.7520 	EXP 	stimuli: autoDraw = True
157.9146 	DATA 	Keypress: down
158.4967 	EXP 	stimuli: autoDraw = False
158.4967 	EXP 	hint: autoDraw = False
158.4967 	EXP 	msgFeedback: text = 'Correct! RT=2.164'
158.4967 	EXP 	msgFeedback: autoDraw = True
159.4320 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
159.4527 	EXP 	msgFeedback: autoDraw = False
159.4527 	EXP 	stimuli: color = u'red (named)'
159.4527 	EXP 	stimuli: text = u'red'
159.4527 	EXP 	hint: autoDraw = True
159.9631 	EXP 	stimuli: autoDraw = True
161.3200 	DATA 	Keypress: left
161.7802 	EXP 	stimuli: autoDraw = False
161.7802 	EXP 	hint: autoDraw = False
161.7802 	EXP 	msgFeedback: text = 'Correct! RT=1.367'
161.7802 	EXP 	msgFeedback: autoDraw = True
162.8494 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
163.0421 	EXP 	msgFeedback: autoDraw = False
163.0421 	EXP 	stimuli: color = u'green (named)'
163.0421 	EXP 	stimuli: text = u'blue'
163.0421 	EXP 	hint: autoDraw = True
163.3737 	EXP 	stimuli: autoDraw = True
164.9255 	DATA 	Keypress: right
165.2469 	EXP 	stimuli: autoDraw = False
165.2469 	EXP 	hint: autoDraw = False
165.2469 	EXP 	msgFeedback: text = 'Not the key...'
165.2469 	EXP 	msgFeedback: autoDraw = True
166.4350 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
166.5737 	EXP 	msgFeedback: autoDraw = False
166.5737 	EXP 	msgFeedback: autoDraw = False
166.5737 	EXP 	stimuli: color = u'green (named)'
166.5737 	EXP 	stimuli: text = u'green'
166.5737 	EXP 	hint: autoDraw = True
166.9655 	EXP 	stimuli: autoDraw = True
168.4623 	DATA 	Keypress: down
168.6914 	EXP 	stimuli: autoDraw = False
168.6914 	EXP 	hint: autoDraw = False
168.6914 	EXP 	msgFeedback: text = 'Correct! RT=1.498'
168.6914 	EXP 	msgFeedback: autoDraw = True
169.9659 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
169.9817 	EXP 	msgFeedback: autoDraw = False
169.9817 	EXP 	msgFeedback: autoDraw = False
169.9817 	EXP 	stimuli: color = u'blue (named)'
169.9817 	EXP 	stimuli: text = u'green'
169.9817 	EXP 	hint: autoDraw = True
170.5042 	EXP 	stimuli: autoDraw = True
171.5853 	DATA 	Keypress: right
172.1334 	EXP 	stimuli: autoDraw = False
172.1334 	EXP 	hint: autoDraw = False
172.1334 	EXP 	msgFeedback: text = 'Correct! RT=1.083'
172.1334 	EXP 	msgFeedback: autoDraw = True
173.1000 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
173.1188 	EXP 	msgFeedback: autoDraw = False
173.1188 	EXP 	msgFeedback: autoDraw = False
173.1188 	EXP 	stimuli: color = u'green (named)'
173.1188 	EXP 	stimuli: text = u'green'
173.1188 	EXP 	hint: autoDraw = True
173.6448 	EXP 	stimuli: autoDraw = True
176.6397 	DATA 	Keypress: down
177.1531 	EXP 	stimuli: autoDraw = False
177.1531 	EXP 	hint: autoDraw = False
177.1531 	EXP 	msgFeedback: text = 'Correct! RT=2.996'
177.1531 	EXP 	msgFeedback: autoDraw = True
178.1556 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
178.3784 	EXP 	msgFeedback: autoDraw = False
178.3784 	EXP 	msgFeedback: autoDraw = False
178.3784 	EXP 	stimuli: color = u'red (named)'
178.3784 	EXP 	stimuli: text = u'blue'
178.3784 	EXP 	hint: autoDraw = True
178.6891 	EXP 	stimuli: autoDraw = True
180.5518 	DATA 	Keypress: left
180.9514 	EXP 	stimuli: autoDraw = False
180.9514 	EXP 	hint: autoDraw = False
180.9514 	EXP 	msgFeedback: text = 'Correct! RT=1.864'
180.9514 	EXP 	msgFeedback: autoDraw = True
182.0802 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
182.2773 	EXP 	msgFeedback: autoDraw = False
182.2773 	EXP 	stimuli: color = u'green (named)'
182.2773 	EXP 	stimuli: text = u'red'
182.2773 	EXP 	hint: autoDraw = True
182.6330 	EXP 	stimuli: autoDraw = True
184.2898 	DATA 	Keypress: left
184.6710 	EXP 	stimuli: autoDraw = False
184.6710 	EXP 	hint: autoDraw = False
184.6710 	EXP 	msgFeedback: text = 'Not the key...'
184.6710 	EXP 	msgFeedback: autoDraw = True
185.8013 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
186.0075 	EXP 	msgFeedback: autoDraw = False
186.0075 	EXP 	msgFeedback: autoDraw = False
186.0075 	EXP 	stimuli: color = u'red (named)'
186.0075 	EXP 	stimuli: text = u'green'
186.0075 	EXP 	hint: autoDraw = True
186.3291 	EXP 	stimuli: autoDraw = True
188.8033 	DATA 	Keypress: left
189.2583 	EXP 	stimuli: autoDraw = False
189.2583 	EXP 	hint: autoDraw = False
189.2583 	EXP 	msgFeedback: text = 'Correct! RT=2.475'
189.2583 	EXP 	msgFeedback: autoDraw = True
190.3076 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
190.4579 	EXP 	msgFeedback: autoDraw = False
190.4579 	EXP 	msgFeedback: autoDraw = False
190.4579 	EXP 	stimuli: color = u'green (named)'
190.4579 	EXP 	stimuli: text = u'red'
190.4579 	EXP 	hint: autoDraw = True
190.8466 	EXP 	stimuli: autoDraw = True
192.3966 	DATA 	Keypress: down
192.9203 	EXP 	stimuli: autoDraw = False
192.9203 	EXP 	hint: autoDraw = False
192.9203 	EXP 	msgFeedback: text = 'Correct! RT=1.570'
192.9203 	EXP 	msgFeedback: autoDraw = True
193.9378 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
193.9577 	EXP 	msgFeedback: autoDraw = False
193.9577 	EXP 	msgFeedback: autoDraw = False
193.9577 	EXP 	stimuli: color = u'red (named)'
193.9577 	EXP 	stimuli: text = u'red'
193.9577 	EXP 	hint: autoDraw = True
194.4695 	EXP 	stimuli: autoDraw = True
195.5604 	DATA 	Keypress: left
196.1225 	EXP 	stimuli: autoDraw = False
196.1225 	EXP 	hint: autoDraw = False
196.1225 	EXP 	msgFeedback: text = 'Correct! RT=1.101'
196.1225 	EXP 	msgFeedback: autoDraw = True
197.0833 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
197.3617 	EXP 	msgFeedback: autoDraw = False
197.3617 	EXP 	msgFeedback: autoDraw = False
197.3617 	EXP 	stimuli: color = u'blue (named)'
197.3617 	EXP 	stimuli: text = u'blue'
197.3617 	EXP 	hint: autoDraw = True
197.6379 	EXP 	stimuli: autoDraw = True
198.7246 	DATA 	Keypress: right
199.2902 	EXP 	stimuli: autoDraw = False
199.2902 	EXP 	hint: autoDraw = False
199.2902 	EXP 	msgFeedback: text = 'Correct! RT=1.088'
199.2902 	EXP 	msgFeedback: autoDraw = True
200.2456 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
200.4051 	EXP 	msgFeedback: autoDraw = False
200.4051 	EXP 	stimuli: color = u'blue (named)'
200.4051 	EXP 	stimuli: text = u'green'
200.4051 	EXP 	hint: autoDraw = True
200.7754 	EXP 	stimuli: autoDraw = True
