block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	722	0	0
0	1	1	1	2	0	0	0	200
0	2	2	0	2	2	532	9	0
0	3	2	0	2	2	440	0	0
0	4	2	1	0	2	421	0	250
0	5	2	1	0	2	378	0	200
0	6	1	0	2	1	494	0	0
0	7	1	1	2	0	0	0	150
0	8	2	0	2	2	448	0	0
0	9	2	0	2	2	540	12	0
0	10	2	1	0	2	441	0	200
0	11	1	0	2	1	558	9	0
0	12	1	1	0	1	634	10	150
0	13	1	1	2	0	0	0	100
0	14	2	0	2	2	492	0	0
0	15	1	0	2	1	792	0	0
0	16	2	1	2	0	0	0	150
0	17	2	0	2	2	562	0	0
0	18	1	0	2	1	598	10	0
0	19	1	1	2	0	0	0	200
0	20	1	1	0	1	440	17	250
0	21	2	0	2	2	508	17	0
0	22	1	0	2	1	593	16	0
0	23	2	0	2	2	542	0	0
0	24	2	0	2	2	562	0	0
0	25	1	0	2	1	535	0	0
0	26	1	0	2	1	572	0	0
0	27	2	0	2	2	521	0	0
0	28	1	0	2	1	565	0	0
0	29	2	1	0	2	730	23	200
0	30	1	0	2	1	575	0	0
0	31	1	0	2	1	435	9	0
0	32	2	0	2	2	568	0	0
0	33	2	0	2	2	461	0	0
0	34	2	0	2	2	465	0	0
0	35	2	1	2	0	0	0	150
0	36	1	0	2	1	499	0	0
0	37	1	0	2	1	543	12	0
0	38	2	0	2	2	460	15	0
0	39	1	0	2	1	521	0	0
0	40	2	0	2	2	501	0	0
0	41	1	0	2	1	482	16	0
0	42	1	0	2	1	623	0	0
0	43	2	0	2	2	467	0	0
0	44	1	0	2	1	528	0	0
0	45	2	0	2	2	533	0	0
0	46	2	1	2	0	0	0	200
0	47	1	0	2	1	422	9	0
0	48	1	0	2	1	491	0	0
0	49	1	0	2	1	455	0	0
0	50	2	1	0	2	532	0	250
0	51	2	0	2	2	521	0	0
0	52	1	0	2	1	486	16	0
0	53	1	0	2	1	418	9	0
0	54	2	0	2	2	527	0	0
0	55	2	0	2	2	452	0	0
0	56	1	0	2	1	504	0	0
0	57	1	1	0	1	421	0	200
0	58	1	0	2	1	546	15	0
0	59	2	0	2	2	494	0	0
0	60	2	0	2	2	515	16	0
0	61	1	0	2	1	496	0	0
0	62	1	1	0	1	1188	0	150
0	63	2	0	2	2	505	0	0
1	0	1	0	2	1	533	0	0
1	1	2	0	2	2	529	0	0
1	2	2	0	2	2	558	0	0
1	3	1	1	2	0	0	0	100
1	4	1	0	2	1	431	0	0
1	5	2	1	2	0	0	0	150
1	6	1	0	2	1	425	0	0
1	7	2	0	2	2	509	0	0
1	8	2	1	2	0	0	0	200
1	9	2	0	2	2	607	10	0
1	10	2	1	2	0	0	0	250
1	11	1	1	0	1	536	0	300
1	12	2	0	2	2	541	0	0
1	13	1	0	2	1	489	0	0
1	14	1	0	2	1	446	0	0
1	15	1	0	2	1	483	0	0
1	16	2	1	2	0	0	0	250
1	17	1	0	2	1	548	0	0
1	18	1	0	2	1	513	0	0
