n_back, resp, RT
1, 0, 1.8432638406065962
1, 0, 0.9421425976815954
1, 1, 0.6660654217539559
1, 1, 0.8409612005143572
1, 1, 0.6317908917208115
1, 0, 0.6606649274890515
1, 0, 1.0612042629200005
1, 0, 0.8248989471212553
1, 0, 0.8596634575478674
1, 0, 0.629858191285166
1, 0, 0.5795696026525547
1, 1, 0.5501739028768498
1, 0, 0.5867198356390873
1, 0, 0.8331067880590126
1, 1, 0.6181455179284967
1, 0, 0.718084560441639
1, 1, 0.5882161054487369
1, 1, 0.5570773606759758
1, 0, 0.6797344466922368
1, 0, 0.6359325201501633
1, 0, 0.7885855096119485
1, 0, 2.650374893013577
1, 1, 0.8509986585795559
1, 0, 0.7523983603059605
1, 0, 0.7359081550039264
1, 0, 0.8614953059168329
1, 0, 0.8077683758256171
1, 0, 0.6956422982475488
1, 0, 0.8122388890915317
1, 0, 0.6501138378844189
1, 0, 0.6679883047308977
1, 1, 0.6518783027931931
1, 1, 0.5687757540927123
1, 1, 0.5907476708089234
1, 0, 0.5806655879368918
1, 0, 0.5843328546579869
1, 0, 0.6559172941651923
1, 1, 0.5832399931096006
1, 1, 0.5197433538050973
1, 0, 0.6051940599008958
1, 0, 0.8027708435784007
1, 1, 0.685884637730851
1, 0, 1.1161195516451698
1, 0, 0.5282417022408481
1, 0, 0.6709304183223139
1, 1, 0.7265552414955891
1, 0, 0.6736306654529471
1, 0, 0.7119999678707245
1, 1, 0.667683071043939
1, 0, 0.6178916027711239
1, 1, 0.6547873940271529
1, 0, 0.6126910276452691
1, 0, 1.2183233031646523
1, 1, 0.6017485784777818
1, 0, 0.8275103908854362
1, 0, 0.7784869155602792
1, 0, 0.8071588009497646
1, 0, 0.8022714919770806
1, 1, 0.5248212107071595
1, 1, 0.47797631850698963
1, 0, 0.5679314527242241
1, 1, 0.6330546662829875
1, 0, 0.7527339388616383
1, 0, 1.0353669453324983
1, 0, 1.4057970303074399
1, 0, 0.6043577910004387
1, 1, 0.5361108408815198
1, 0, 0.5755854997933056
1, 0, 0.5673950625332509
1, 0, 0.5988372560022981
1, 1, 0.5397763226119423
1, 0, 0.5859081103808421
1, 0, 0.6920883785387559
1, 0, 0.8994955611706246
1, 1, 0.5349184660117317
1, 1, 0.5277481518642162
1, 0, 0.6029931643715827
1, 0, 1.0232794235889742
1, 1, 0.6146277443149302
1, 0, 1.159742086460028
1, 0, 0.9052097678359132
1, 1, 0.6585372166446177
1, 0, 0.6219979776033142
1, 1, 0.6072052999988955
1, 0, 1.6042944237724441
1, 0, 0.47170474798986106
1, 0, 0.5557952899398515
1, 0, 0.5624644674953743
1, 0, 0.6064047309428133
1, 0, 0.5808333772147307
1, 1, 0.5944439436552784
1, 1, 0.5274665693250427
1, 0, 0.6570422855747893
1, 1, 0.5975734814401221
1, 1, 0.5268909093010734
1, 0, 0.5678051645190862
1, 1, 0.5960620391942939
1, 1, 0.6323098782377201
1, 1, 0.6727386155434942
1, 0, 0.7175838700950408
1, 0, 1.3015391988774354
1, 0, 0.6225017916858633
1, 0, 0.5893634092644788
1, 1, 0.5762655818671192
1, 0, 1.1838033366857417
1, 0, 0.703469489571944
1, 0, 0.5423418028240121
1, 0, 0.6117739878427528
1, 0, 0.6994595043252048
1, 1, 0.6568048815970542
1, 1, 0.5343941245209862
1, 0, 0.7156355509778223
1, 0, 0.9379081496499566
1, 1, 0.603867810606971
1, 0, 1.6825261746816977
1, 0, 0.595103944564471
1, 0, 0.6672992976946261
1, 0, 0.7342463271543238
1, 1, 0.5477815669200936
1, 0, 1.1226936783605197
1, 0, 0.6503427631505474
1, 1, 0.7459000957642274
1, 1, 0.6770475870034716
1, 1, 0.6341818889322894
1, 1, 0.6097025042563473
1, 0, 0.6671730094894883
1, 0, 0.7493830620278459
1, 0, 0.4568308532361698
1, 1, 0.6081977557278151
1, 0, 0.5221887932821119
1, 0, 0.48452233159332536
1, 0, 0.5899850328405591
1, 1, 0.6381704542727675
1, 0, 0.5503867632123729
1, 1, 0.6649538177862269
1, 0, 0.5497066811367404
1, 0, 0.5099499934403866
1, 0, 0.5730329607758904
1, 0, 0.5928414667996549
1, 0, 0.5285795120380499
1, 1, 0.6619447669836518
1, 0, 1.5659800098710548
1, 1, 0.6544504767261969
1, 0, 0.759947092827133
1, 0, 0.6103607201730483
1, 0, 0.612779384766327
1, 1, 0.6255661772520398
2, 0, 1.7608511914386327
2, 0, 1.5015832881872484
2, 0, 1.6406734597530885
2, 0, 1.653662402617556
2, 0, 1.5870219455882761
2, 0, 1.694474913270824
2, 0, 1.3163354464668373
2, 1, 1.4054980440942018
2, 0, 2.2983302289339917
2, 0, 1.59122515625495
2, 1, 0.8007555872500234
2, 1, 0.9716302245597035
2, 0, 1.8428117913026654
2, 1, 1.0401592034650093
2, 0, 1.3955877667322056
2, 0, 2.168792443770144
2, 0, 1.016042172228481
2, 0, 1.2400056048754777
2, 1, 1.0301784189086902
2, 0, 1.0733239145229163
2, 1, 1.1662867608010856
2, 0, 1.404818854516634
2, 0, 1.1324343814521853
2, 0, 0.9103849068196723
2, 0, 1.2382777323109622
2, 0, 1.4548847653586563
2, 1, 0.7441838256490882
2, 0, 1.1221345295161882
2, 1, 0.837256895203609
2, 0, 1.445785767005873
2, 0, 1.055363768047755
2, 0, 2.0370185094761837
2, 0, 0.7386789093343396
2, 0, 0.9546567325887736
2, 0, 1.0099250035473233
2, 0, 1.4952108656052587
2, 0, 3.0111914555982366
2, 0, 1.0546243349781435
2, 1, 0.6641532487301447
2, 0, 0.8700315854384826
2, 0, 1.4336259530755342
2, 1, 0.6743941959193762
2, 1, 1.03214057171499
2, 1, 0.6578727532523772
2, 0, 0.708356798544628
2, 0, 1.173836385818504
2, 0, 0.8285653213479236
2, 0, 1.0246110278603737
2, 1, 0.8830593518869136
2, 1, 0.7285597878708359
2, 0, 0.6458182538681285
2, 0, 0.9764528275627526
2, 0, 1.1148214159802592
2, 1, 0.9586488679142349
2, 0, 1.9321680605971778
2, 0, 1.176537525447202
2, 0, 0.7169916988932528
2, 0, 0.9242382322136109
2, 0, 0.7970593144018494
2, 0, 1.0725407491427177
2, 1, 1.0396973367023747
2, 0, 1.4220850852289004
2, 1, 0.7111137191841408
2, 1, 0.8993706117089459
2, 0, 1.1608429804746265
2, 0, 3.0805799083045713
2, 0, 0.6305378271117661
2, 0, 1.5817245346315758
2, 0, 1.2556693587339396
2, 1, 0.5229768673925719
2, 0, 0.8050252888788236
2, 0, 1.5782045297746663
2, 1, 0.6442421056472085
2, 1, 0.8670604657218064
2, 1, 0.6249945334620861
2, 1, 0.5213909017165861
2, 0, 0.6136919620894332
2, 0, 1.036590111320038
2, 0, 0.9818966078892117
2, 0, 0.8357677653602877
2, 0, 0.7542409186298755
2, 0, 1.3704595373474149
2, 0, 0.8338386349096254
2, 0, 0.9989825543780171
2, 0, 0.8768582885677461
2, 0, 0.7846821776547586
2, 1, 0.7278328497486655
2, 0, 0.7027220240397583
2, 0, 0.6460172805109323
2, 0, 1.038521026763192
2, 1, 0.6933909766848956
2, 0, 0.6352323569117289
2, 0, 1.527247461517618
2, 1, 0.4886269214330241
2, 0, 1.5694857347880316
2, 0, 0.7826642438376439
2, 0, 0.6990984896292503
2, 1, 0.9586537766408583
2, 1, 0.9588456633155147
2, 0, 0.8449604758079658
2, 0, 1.0741401022623904
2, 1, 0.7536549948981701
2, 1, 1.1207408967620722
2, 0, 0.9584114639346808
2, 1, 1.0695084934395709
2, 0, 0.7676372859914409
2, 1, 0.647958013410971
2, 1, 0.9531488603279286
2, 0, 0.7575137020467082
2, 0, 0.7384687264893728
2, 0, 0.6276733606846392
2, 0, 1.0942346533065574
2, 0, 0.9369915560928348
2, 1, 0.7537384432907857
2, 0, 1.9763653629379405
2, 0, 1.0470528438054316
2, 0, 0.9622474124298606
2, 0, 1.143350501984969
2, 0, 0.769589621340856
2, 0, 0.6987258724821004
2, 1, 0.7074290487853432
2, 0, 0.7442168480065448
2, 0, 1.2352602027931425
2, 1, 0.6746199974459159
2, 1, 0.7674851153969939
2, 1, 0.5662508824552788
2, 1, 0.5262603607643541
2, 0, 0.90404863033109
2, 1, 0.8437399873091636
2, 0, 0.9132801643627317
2, 1, 0.6639992931432062
2, 0, 2.1018164081851864
2, 0, 1.044092434041886
2, 0, 1.081037312587796
2, 1, 0.7812599011303973
2, 0, 0.9761056465558795
2, 0, 1.3306595635876874
2, 0, 1.0807762574604567
2, 0, 0.6301005039931624
2, 0, 0.7976559480848664
2, 0, 0.7393759488350042
2, 0, 0.9425058436190739
2, 1, 0.8235356592376775
2, 1, 0.5194291951556806
2, 1, 0.5082060559434467
2, 0, 0.9316459503424994
2, 1, 0.8939018414857856
2, 1, 0.6527685677119734
2, 1, 0.5161836328697973
2, 1, 0.49019860717089614
2, 1, 0.47055833667218394
2, 0, 0.797318584536697
2, 1, 0.8287228469198453
2, 0, 2.447085687665094
3, 0, 2.5170234717570565
3, 0, 1.0834965857557108
3, 0, 1.088761420603987
3, 0, 0.9089252293506433
3, 0, 1.0844716378105659
3, 1, 1.5308357423291454
3, 1, 0.9690094095858512
3, 0, 1.4168376540565077
3, 0, 3.012546264770208
3, 0, 1.2405339626038767
3, 0, 1.073704117887246
3, 1, 0.6409126487233152
3, 0, 1.3085957197672542
3, 0, 1.6303499566693063
