block	trial	stimulus	signal	correct	respons	rt	re	ssd
2	25	1	1	0	1	475	2	300
2	26	1	0	2	1	497	1	0
2	27	1	0	2	1	493	2	0
2	28	2	0	2	2	477	1	0
2	29	2	0	2	2	559	1	0
2	30	1	0	2	1	489	2	0
2	31	2	0	2	2	528	1	0
2	32	2	0	2	2	505	2	0
2	33	2	1	0	2	443	1	250
2	34	1	1	2	0	0	0	200
2	35	1	0	2	1	619	1	0
2	36	2	1	2	0	0	0	250
2	37	1	0	2	1	603	1	0
2	38	1	0	2	1	483	1	0
2	39	1	0	2	1	415	1	0
2	40	1	0	2	1	392	1	0
2	41	1	0	2	1	375	2	0
2	42	2	0	2	2	505	1	0
2	43	2	0	2	2	480	1	0
2	44	1	1	0	1	436	2	300
2	45	1	0	2	1	465	2	0
2	46	2	0	2	2	503	1	0
2	47	2	0	2	2	511	1	0
2	48	1	1	0	1	403	2	250
2	49	1	0	2	1	539	2	0
2	50	1	0	2	1	583	1	0
2	51	2	0	2	2	451	2	0
2	52	1	0	2	1	447	1	0
2	53	1	0	2	1	556	1	0
2	54	2	1	0	2	397	1	200
2	55	2	0	2	2	665	2	0
2	56	2	0	2	2	723	1	0
2	57	1	0	2	1	467	1	0
2	58	1	0	2	1	535	2	0
2	59	2	0	2	2	466	1	0
2	60	2	1	2	0	0	0	150
2	61	2	0	2	2	498	1	0
2	62	1	0	2	1	426	2	0
2	63	2	0	2	2	371	1	0
