block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	1	0	2	1	735	2	0
0	1	1	0	2	1	451	2	0
0	2	1	1	2	0	0	0	500
0	3	2	0	2	2	706	1	0
0	4	1	1	0	1	769	1	550
0	5	2	0	2	2	809	1	0
0	6	1	0	2	1	759	1	0
0	7	1	0	2	1	783	1	0
0	8	2	0	2	2	741	2	0
0	9	2	0	2	2	821	1	0
0	10	2	0	2	2	862	1	0
0	11	1	1	2	0	0	0	500
0	12	1	0	2	1	695	1	0
0	13	2	1	0	2	664	2	550
0	14	2	0	2	2	658	1	0
0	15	1	0	2	1	784	1	0
0	16	2	0	2	2	754	1	0
0	17	1	0	2	1	798	2	0
0	18	2	0	2	2	789	1	0
0	19	2	1	2	0	0	0	500
0	20	1	0	2	1	857	1	0
0	21	2	0	2	2	773	1	0
0	22	1	1	2	0	0	0	550
0	23	1	1	0	1	749	1	600
0	24	1	0	2	1	758	1	0
0	25	1	0	2	1	664	2	0
0	26	2	1	0	2	511	1	550
0	27	1	0	2	1	767	2	0
0	28	2	1	2	0	0	0	500
0	29	1	0	2	1	787	1	0
0	30	2	1	0	2	698	2	550
0	31	2	0	2	2	787	1	0
0	32	1	0	2	1	790	1	0
0	33	2	0	2	2	665	1	0
0	34	2	0	2	2	1005	1	0
0	35	2	0	2	2	1029	2	0
0	36	1	0	2	1	952	2	0
0	37	2	0	2	2	1120	1	0
0	38	2	1	2	0	0	0	500
0	39	1	0	2	1	927	2	0
0	40	2	1	2	0	0	0	550
0	41	1	0	2	1	622	28	0
0	42	2	0	2	2	955	1	0
0	43	2	0	2	2	626	2	0
0	44	2	0	2	2	758	1	0
0	45	1	0	2	1	827	1	0
0	46	2	0	2	2	695	1	0
0	47	1	1	0	1	752	2	600
0	48	2	0	2	2	835	2	0
0	49	2	0	2	2	559	1	0
0	50	2	0	2	2	1005	1	0
0	51	1	0	2	1	782	1	0
0	52	2	0	2	2	789	2	0
0	53	1	0	2	1	1068	1	0
0	54	1	0	2	1	1071	1	0
0	55	1	1	2	0	0	0	550
0	56	2	1	2	0	0	0	600
0	57	1	0	2	1	729	1	0
0	58	2	0	2	2	908	2	0
0	59	2	0	2	2	945	1	0
0	60	1	1	0	1	836	2	650
0	61	1	0	2	1	728	1	0
0	62	1	0	2	1	773	2	0
0	63	1	0	2	1	893	2	0
1	0	1	0	2	1	745	1	0
1	1	1	0	2	1	477	1	0
1	2	1	1	0	1	719	2	600
1	3	2	1	2	0	0	0	550
1	4	1	0	2	1	629	1	0
1	5	2	0	2	2	648	1	0
1	6	2	0	2	2	594	2	0
1	7	1	0	2	1	690	1	0
1	8	1	0	2	1	718	2	0
1	9	2	0	2	2	963	1	0
1	10	1	0	2	1	978	1	0
1	11	2	0	2	2	1029	1	0
1	12	2	1	0	2	706	53	600
1	13	2	1	0	2	660	2	550
1	14	2	0	2	2	740	2	0
1	15	2	0	2	2	542	1	0
1	16	2	0	2	2	466	1	0
1	17	2	0	2	2	804	1	0
1	18	1	0	2	1	970	1	0
1	19	1	0	2	1	900	2	0
1	20	1	0	2	1	857	1	0
1	21	2	0	2	2	897	2	0
1	22	1	0	2	1	935	1	0
1	23	2	0	2	2	943	1	0
1	24	2	0	2	2	955	1	0
1	25	1	0	2	1	975	2	0
1	26	1	0	2	1	1005	2	0
1	27	2	0	2	2	1019	2	0
1	28	2	1	2	0	0	0	500
1	29	2	0	2	2	1091	1	0
1	30	1	1	2	0	0	0	550
1	31	1	0	2	1	910	2	0
1	32	1	0	2	1	596	1	0
1	33	2	0	2	2	928	1	0
1	34	1	0	2	1	617	1	0
1	35	2	0	2	2	623	2	0
1	36	1	1	2	0	0	0	600
