# type,stim,RT
none,2,0
none,9,0
none,6,0
none,4,0
cor,3,0.684
none,1,0
none,2,0
cor,3,0.567
none,6,0
none,9,0
cor,3,0.6
none,2,0
none,1,0
cor,3,0.567
none,9,0
none,8,0
cor,3,0.467
none,5,0
none,2,0
com,7,0.417
none,4,0
none,9,0
cor,3,0.784
none,5,0
none,1,0
cor,3,0.684
none,2,0
none,8,0
cor,3,0.718
none,5,0
none,8,0
none,6,0
com,7,0.583
omi,3,0
delay,4,0.466
none,4,0
cor,3,0.85
none,9,0
none,5,0
cor,3,0.6
none,6,0
cor,3,0.917
none,8,0
none,7,0
none,9,0
none,7,0
none,4,0
none,1,0
none,8,0
cor,3,0.7
none,4,0
none,2,0
omi,3,0
none,5,0
none,5,0
cor,3,0.615
none,4,0
none,1,0
cor,3,0.55
none,2,0
none,1,0
none,5,0
none,9,0
none,7,0
cor,3,0.667
delay,7,0.85
none,9,0
none,7,0
none,7,0
omi,3,0
delay,1,0.349
none,4,0
none,5,0
none,9,0
cor,3,0.717
none,4,0
none,6,0
cor,3,0.917
none,9,0
none,7,0
none,1,0
cor,3,0.684
none,1,0
none,2,0
cor,3,0.783
none,2,0
cor,3,0.617
none,4,0
none,7,0
none,9,0
omi,3,0
delay,4,0.135
none,7,0
none,5,0
none,8,0
cor,3,0.784
none,7,0
none,8,0
cor,3,0.684
none,5,0
none,6,0
none,8,0
cor,3,0.7
none,8,0
none,2,0
none,8,0
none,8,0
cor,3,0.8
none,7,0
omi,3,0
none,6,0
none,1,0
none,5,0
cor,3,0.8
none,2,0
omi,3,0
none,9,0
none,7,0
none,7,0
cor,3,0.8
none,8,0
none,9,0
none,4,0
none,1,0
none,1,0
none,6,0
cor,3,0.683
none,9,0
cor,3,0.884
none,7,0
omi,3,0
delay,1,0.283
none,1,0
cor,3,0.65
none,4,0
cor,3,0.734
none,8,0
none,4,0
none,8,0
none,7,0
none,9,0
none,2,0
none,5,0
cor,3,0.684
none,5,0
none,8,0
cor,3,0.633
none,6,0
none,1,0
cor,3,0.885
none,4,0
none,6,0
none,4,0
none,7,0
none,4,0
none,8,0
none,5,0
cor,3,0.734
none,5,0
none,9,0
none,4,0
none,5,0
none,7,0
cor,3,0.75
none,9,0
none,8,0
none,7,0
cor,3,0.8
none,4,0
none,2,0
none,9,0
cor,3,0.734
none,6,0
none,2,0
cor,3,0.767
none,8,0
cor,3,0.65
none,1,0
none,8,0
cor,3,0.617
none,5,0
none,6,0
none,6,0
cor,3,0.75
none,1,0
none,5,0
none,5,0
cor,3,0.767
none,1,0
none,4,0
cor,3,0.717
none,8,0
none,1,0
none,9,0
cor,3,0.717
none,6,0
omi,3,0
delay,5,0.435
none,8,0
none,8,0
cor,3,0.718
none,1,0
none,6,0
none,2,0
cor,3,0.817
none,5,0
none,4,0
none,4,0
none,7,0
none,9,0
none,9,0
omi,3,0
delay,9,0.4
none,4,0
omi,3,0
none,9,0
none,8,0
none,7,0
none,6,0
cor,3,0.668
none,2,0
none,7,0
cor,3,0.883
none,9,0
cor,3,0.85
none,4,0
com,9,0.85
omi,3,0
none,7,0
none,6,0
com,6,0.533
none,5,0
omi,3,0
delay,9,0.25
none,7,0
omi,3,0
none,7,0
none,9,0
omi,3,0
none,4,0
none,5,0
cor,3,0.634
none,7,0
none,2,0
none,8,0
none,7,0
none,4,0
none,4,0
none,2,0
none,8,0
none,8,0
cor,3,0.766
none,5,0
none,7,0
none,2,0
none,4,0
cor,3,0.734
none,7,0
none,6,0
cor,3,0.9
none,9,0
none,6,0
none,8,0
cor,3,0.767
none,5,0
none,4,0
cor,3,0.768
none,7,0
none,6,0
cor,3,0.734
none,1,0
none,5,0
none,9,0
cor,3,0.633
none,6,0
omi,3,0
delay,1,0.133
none,8,0
none,5,0
none,2,0
none,9,0
cor,3,0.75
none,6,0
omi,3,0
none,2,0
none,8,0
none,9,0
omi,3,0
none,5,0
cor,3,0.734
none,9,0
none,9,0
none,5,0
cor,3,0.566
none,9,0
none,4,0
none,8,0
none,6,0
cor,3,0.617
none,8,0
none,2,0
none,6,0
cor,3,0.683
none,9,0
none,4,0
omi,3,0
none,2,0
com,5,0.183
none,2,0
none,7,0
none,9,0
none,2,0
cor,3,0.684
none,9,0
omi,3,0
none,5,0
none,6,0
none,7,0
none,5,0
cor,3,0.617
none,1,0
none,7,0
none,8,0
none,7,0
cor,3,0.784
none,8,0
none,2,0
cor,3,0.734
none,1,0
none,6,0
none,9,0
cor,3,0.634
none,4,0
none,2,0
cor,3,0.765
none,1,0
none,5,0
none,2,0
cor,3,0.684
none,2,0
none,4,0
none,5,0
none,9,0
cor,3,0.6
none,5,0
none,7,0
cor,3,0.881
none,4,0
cor,3,0.85
none,8,0
none,9,0
none,6,0
none,8,0
none,6,0
omi,3,0
none,4,0
none,5,0
omi,3,0
delay,4,0.133
cor,3,0.767
none,7,0
none,1,0
none,4,0
com,7,0.65
none,1,0
none,9,0
cor,3,0.7
none,2,0
none,8,0
omi,3,0
delay,7,0.617
none,5,0
none,6,0
none,8,0
cor,3,0.7
none,4,0
none,2,0
none,1,0
omi,3,0
none,7,0
none,5,0
