184.2614 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
184.4466 	EXP 	msgFeedback: autoDraw = False
184.4466 	EXP 	msgFeedback: autoDraw = False
184.4466 	EXP 	stimuli: color = u'green (named)'
184.4466 	EXP 	stimuli: text = u'blue'
184.4466 	EXP 	hint: autoDraw = True
184.7931 	EXP 	stimuli: autoDraw = True
186.4352 	DATA 	Keypress: down
186.8216 	EXP 	stimuli: autoDraw = False
186.8216 	EXP 	hint: autoDraw = False
186.8216 	EXP 	msgFeedback: text = 'Correct! RT=1.643'
186.8216 	EXP 	msgFeedback: autoDraw = True
187.9513 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
187.9687 	EXP 	msgFeedback: autoDraw = False
187.9687 	EXP 	stimuli: color = u'blue (named)'
187.9687 	EXP 	stimuli: text = u'blue'
187.9687 	EXP 	hint: autoDraw = True
188.4826 	EXP 	stimuli: autoDraw = True
189.6503 	DATA 	Keypress: right
190.0354 	EXP 	stimuli: autoDraw = False
190.0354 	EXP 	hint: autoDraw = False
190.0354 	EXP 	msgFeedback: text = 'Correct! RT=1.169'
190.0354 	EXP 	msgFeedback: autoDraw = True
191.1649 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
191.3038 	EXP 	msgFeedback: autoDraw = False
191.3038 	EXP 	msgFeedback: autoDraw = False
191.3038 	EXP 	stimuli: color = u'green (named)'
191.3038 	EXP 	stimuli: text = u'red'
191.3038 	EXP 	hint: autoDraw = True
191.6965 	EXP 	stimuli: autoDraw = True
193.0257 	DATA 	Keypress: down
193.4202 	EXP 	stimuli: autoDraw = False
193.4202 	EXP 	hint: autoDraw = False
193.4202 	EXP 	msgFeedback: text = 'Correct! RT=1.339'
193.4202 	EXP 	msgFeedback: autoDraw = True
