block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	513	0	0
0	1	1	0	2	1	502	9	0
0	2	1	1	2	0	0	0	350
0	3	1	0	2	1	575	0	0
0	4	1	0	2	1	484	16	0
0	5	1	0	2	1	601	0	0
0	6	2	0	2	2	493	0	0
0	7	1	1	0	1	482	0	400
0	8	1	0	2	1	575	11	0
0	9	2	0	2	2	467	13	0
0	10	1	0	2	1	544	0	0
0	11	1	0	2	1	461	12	0
0	12	1	0	2	1	441	16	0
0	13	1	1	0	1	502	9	350
0	14	2	0	2	2	515	10	0
0	15	1	0	2	1	511	0	0
0	16	2	0	2	2	540	0	0
0	17	1	1	2	0	0	0	300
0	18	1	0	2	1	549	12	0
0	19	1	0	2	1	474	0	0
0	20	2	0	2	2	575	12	0
0	21	2	1	0	2	547	15	350
0	22	2	0	2	2	552	0	0
0	23	1	0	2	1	725	0	0
0	24	2	0	2	2	586	0	0
0	25	2	0	2	2	734	0	0
0	26	2	1	2	0	0	0	300
0	27	2	0	2	2	600	0	0
0	28	2	0	2	2	468	17	0
0	29	2	0	2	2	569	9	0
0	30	2	0	2	2	534	0	0
0	31	2	0	2	2	490	0	0
0	32	1	0	2	1	751	0	0
0	33	2	0	2	2	508	0	0
0	34	2	1	0	2	448	0	350
0	35	2	0	2	2	357	0	0
0	36	2	1	2	0	0	0	300
0	37	1	1	0	1	534	0	350
0	38	1	0	2	1	627	0	0
0	39	1	0	2	1	688	0	0
0	40	1	0	2	1	668	11	0
0	41	1	1	2	0	0	0	300
0	42	1	1	0	1	510	0	350
0	43	2	0	2	2	538	9	0
0	44	2	0	2	2	599	0	0
0	45	2	1	2	0	0	0	300
0	46	1	0	2	1	633	0	0
0	47	2	0	2	2	589	0	0
0	48	2	0	2	2	642	0	0
0	49	1	0	2	1	719	0	0
0	50	2	0	2	2	715	0	0
0	51	1	0	2	1	560	0	0
0	52	2	0	2	2	613	0	0
0	53	1	1	2	0	0	0	350
0	54	1	0	2	1	574	0	0
0	55	2	1	2	0	0	0	400
0	56	1	0	2	1	767	0	0
0	57	2	1	0	2	684	0	450
0	58	2	1	2	0	0	0	400
0	59	1	0	2	1	645	0	0
0	60	1	0	2	1	666	0	0
0	61	2	0	2	2	639	9	0
0	62	2	0	2	2	740	11	0
0	63	1	0	2	1	872	0	0
1	0	2	0	0	0	0	0	0
1	1	1	0	2	1	610	0	0
1	2	2	0	2	2	735	12	0
1	3	2	0	2	2	700	0	0
1	4	2	0	2	2	720	16	0
1	5	1	0	2	1	637	0	0
1	6	2	1	0	2	546	0	450
1	7	1	0	2	1	766	0	0
1	8	2	0	2	2	667	0	0
1	9	1	1	2	0	0	0	400
1	10	1	0	2	1	725	0	0
1	11	2	0	2	2	817	0	0
1	12	1	0	2	1	886	0	0
1	13	2	0	2	2	778	0	0
1	14	2	1	2	0	0	0	450
1	15	2	0	2	2	876	0	0
1	16	1	0	2	1	873	0	0
1	17	1	0	2	1	933	0	0
1	18	1	0	2	1	842	12	0
1	19	1	1	0	1	647	10	500
1	20	1	0	2	1	675	15	0
1	21	2	1	2	0	0	0	450
1	22	1	0	2	1	629	0	0
1	23	2	1	0	2	753	11	500
1	24	1	0	2	1	598	0	0
1	25	1	0	2	1	619	9	0
1	26	2	0	2	2	687	0	0
1	27	1	1	2	0	0	0	450
1	28	2	1	2	0	0	0	500
1	29	2	1	2	0	0	0	550
1	30	2	0	2	2	818	0	0
1	31	1	0	2	1	975	0	0
1	32	2	0	2	2	1092	0	0
1	33	2	1	2	0	0	0	600
1	34	1	1	0	1	797	0	650
1	35	1	1	2	0	0	0	600
1	36	2	0	2	2	894	0	0
1	37	1	0	2	1	1035	9	0
1	38	1	0	2	1	720	0	0
1	39	2	0	2	2	796	0	0
1	40	2	0	2	2	825	0	0
1	41	2	0	2	2	798	0	0
1	42	1	1	0	1	706	0	650
1	43	1	0	2	1	927	0	0
1	44	2	0	2	2	820	9	0
1	45	1	0	2	1	760	16	0
1	46	2	1	2	0	0	0	600
1	47	2	0	2	2	946	9	0
1	48	1	0	2	1	870	11	0
1	49	1	0	2	1	779	0	0
1	50	1	0	2	1	880	0	0
1	51	1	1	0	1	869	0	650
1	52	2	0	2	2	945	0	0
1	53	2	0	2	2	878	0	0
1	54	2	0	2	2	843	0	0
1	55	1	0	2	1	471	15	0
1	56	1	1	0	1	548	15	600
1	57	2	0	2	2	568	0	0
1	58	2	0	2	2	773	9	0
1	59	2	0	2	2	602	0	0
1	60	1	0	2	1	559	0	0
1	61	2	0	2	2	547	0	0
1	62	1	0	2	1	688	0	0
1	63	1	0	2	1	733	0	0
2	0	1	1	0	1	942	0	550
2	1	1	1	0	1	603	0	500
2	2	2	0	2	2	855	0	0
2	3	1	0	2	1	884	0	0
2	4	2	0	2	2	825	0	0
2	5	2	1	2	0	0	0	450
2	6	1	0	2	1	914	0	0
2	7	2	0	2	2	759	0	0
2	8	1	1	0	1	636	0	500
2	9	1	0	2	1	840	16	0
2	10	2	0	2	2	741	0	0
2	11	1	0	2	1	754	13	0
2	12	2	0	2	2	574	0	0
2	13	2	0	2	2	715	0	0
2	14	2	0	2	2	640	0	0
2	15	2	1	2	0	0	0	450
2	16	1	0	2	1	753	0	0
2	17	1	1	2	0	0	0	500
2	18	1	0	2	1	755	0	0
2	19	2	1	2	0	0	0	550
2	20	1	0	2	1	636	0	0
2	21	1	0	2	1	929	0	0
2	22	2	0	2	2	765	0	0
2	23	2	1	0	2	802	0	600
2	24	2	0	2	2	751	0	0
2	25	1	0	2	1	843	11	0
2	26	1	0	2	1	712	9	0
2	27	2	0	2	2	725	0	0
2	28	1	0	2	1	545	13	0
2	29	1	1	0	1	534	0	550
2	30	2	0	0	1	523	9	0
2	31	1	0	2	1	519	0	0
2	32	2	0	2	2	524	11	0
2	33	2	0	2	2	729	0	0
