# type,stim,RT
cor,3,0.717
none,6,0
none,1,0
cor,3,0.749
none,6,0
none,2,0
none,2,0
cor,3,0.632
none,9,0
none,7,0
none,1,0
none,6,0
cor,3,0.716
none,1,0
omi,3,0
none,9,0
none,2,0
none,4,0
none,7,0
none,1,0
omi,3,0
none,7,0
none,2,0
none,6,0
none,7,0
none,4,0
omi,3,0
none,7,0
none,9,0
omi,3,0
delay,4,0.151
none,8,0
none,7,0
omi,3,0
none,9,0
none,1,0
none,5,0
omi,3,0
none,9,0
cor,3,0.732
none,5,0
none,8,0
none,5,0
cor,3,0.717
none,5,0
cor,3,0.665
none,8,0
none,1,0
cor,3,0.831
none,2,0
none,6,0
none,1,0
none,5,0
none,2,0
none,8,0
none,5,0
cor,3,0.683
none,8,0
cor,3,0.799
none,6,0
none,8,0
cor,3,0.665
none,8,0
none,9,0
none,2,0
cor,3,0.799
none,4,0
cor,3,0.716
none,9,0
none,6,0
none,7,0
none,5,0
cor,3,0.701
none,5,0
none,9,0
none,9,0
none,8,0
cor,3,0.65
none,1,0
omi,3,0
none,6,0
none,1,0
none,6,0
none,8,0
none,9,0
none,8,0
none,4,0
none,6,0
none,8,0
cor,3,0.733
none,8,0
none,7,0
omi,3,0
delay,8,0.217
none,8,0
none,1,0
cor,3,0.834
none,7,0
none,9,0
cor,3,0.882
none,5,0
cor,3,0.716
none,7,0
none,9,0
none,8,0
omi,3,0
none,6,0
none,8,0
cor,3,0.733
none,7,0
none,4,0
cor,3,0.85
none,9,0
none,4,0
none,1,0
none,9,0
none,9,0
none,8,0
cor,3,0.634
none,2,0
none,8,0
omi,3,0
delay,1,0.499
none,5,0
cor,3,0.717
none,7,0
none,7,0
none,4,0
cor,3,0.648
none,8,0
none,5,0
none,5,0
none,1,0
cor,3,0.717
none,1,0
none,5,0
none,9,0
none,7,0
cor,3,0.633
none,7,0
none,7,0
cor,3,0.632
none,9,0
none,9,0
cor,3,0.616
none,4,0
none,4,0
none,1,0
none,6,0
none,7,0
none,6,0
cor,3,0.75
none,5,0
cor,3,0.899
none,1,0
none,9,0
cor,3,0.683
none,6,0
cor,3,0.866
none,9,0
none,9,0
cor,3,0.816
none,2,0
none,1,0
none,4,0
none,6,0
none,5,0
none,4,0
none,1,0
none,7,0
none,2,0
cor,3,0.799
none,2,0
cor,3,0.766
none,9,0
cor,3,0.899
none,4,0
none,9,0
none,1,0
none,9,0
omi,3,0
none,4,0
none,4,0
omi,3,0
none,8,0
none,1,0
cor,3,0.666
none,6,0
none,9,0
none,8,0
cor,3,0.767
none,6,0
omi,3,0
none,2,0
none,8,0
none,4,0
cor,3,0.732
none,1,0
none,9,0
cor,3,0.814
none,6,0
none,7,0
none,1,0
none,9,0
none,4,0
cor,3,0.917
none,4,0
none,9,0
none,6,0
