# type,stim,RT
none,7,0
cor,3,0.533
none,6,0
none,5,0
cor,3,0.531
none,1,0
none,5,0
cor,3,0.598
none,6,0
none,4,0
none,1,0
none,1,0
none,6,0
cor,3,0.649
none,6,0
none,2,0
cor,3,0.866
none,1,0
none,5,0
cor,3,0.55
none,8,0
cor,3,0.633
none,9,0
none,5,0
none,1,0
none,1,0
none,9,0
cor,3,0.483
none,7,0
cor,3,0.549
none,2,0
none,5,0
cor,3,0.565
none,1,0
none,2,0
cor,3,0.584
none,8,0
none,9,0
none,6,0
cor,3,0.667
none,4,0
none,9,0
cor,3,0.616
none,7,0
none,8,0
cor,3,0.566
none,5,0
none,8,0
none,1,0
none,9,0
none,6,0
none,1,0
cor,3,0.65
none,1,0
none,5,0
none,2,0
none,7,0
none,7,0
none,6,0
cor,3,0.533
none,4,0
none,4,0
none,7,0
none,5,0
none,9,0
cor,3,0.679
none,6,0
none,2,0
omi,3,0
delay,7,0.266
none,5,0
cor,3,0.583
none,7,0
cor,3,0.598
none,9,0
none,6,0
cor,3,0.65
none,2,0
none,9,0
none,2,0
none,1,0
cor,3,0.549
none,2,0
none,7,0
cor,3,0.684
none,8,0
none,9,0
none,1,0
cor,3,0.466
none,2,0
none,7,0
cor,3,0.599
none,6,0
none,8,0
none,5,0
none,1,0
cor,3,0.549
none,1,0
none,5,0
none,2,0
none,2,0
cor,3,0.484
none,5,0
none,2,0
cor,3,0.515
none,6,0
none,7,0
none,4,0
cor,3,0.515
none,7,0
none,8,0
none,4,0
cor,3,0.5
none,1,0
none,9,0
cor,3,0.599
none,7,0
none,1,0
none,1,0
none,2,0
none,5,0
cor,3,0.5
none,6,0
none,2,0
none,7,0
cor,3,0.532
none,5,0
none,6,0
cor,3,0.616
none,1,0
none,1,0
cor,3,0.582
none,2,0
cor,3,0.649
none,2,0
none,4,0
cor,3,0.483
none,6,0
none,4,0
cor,3,0.5
none,7,0
none,2,0
none,4,0
none,8,0
cor,3,0.432
none,2,0
none,1,0
none,9,0
none,6,0
none,6,0
none,5,0
none,1,0
cor,3,0.498
none,7,0
cor,3,0.799
none,5,0
cor,3,0.899
none,2,0
none,8,0
none,9,0
cor,3,0.532
none,2,0
none,1,0
none,9,0
cor,3,0.549
none,2,0
none,8,0
cor,3,0.584
none,7,0
none,7,0
none,8,0
cor,3,0.618
none,9,0
none,7,0
none,6,0
none,2,0
none,6,0
cor,3,0.515
none,2,0
none,4,0
none,4,0
cor,3,0.499
none,4,0
none,8,0
none,2,0
cor,3,0.65
none,9,0
omi,3,0
delay,1,0.898
omi,3,0
none,1,0
none,7,0
cor,3,0.548
none,7,0
none,8,0
none,9,0
none,4,0
none,8,0
none,6,0
none,1,0
none,7,0
cor,3,0.484
none,2,0
none,6,0
cor,3,0.55
none,7,0
none,5,0
cor,3,0.615
none,1,0
none,4,0
none,9,0
