n_back, resp, RT
1, 0, 2.527521879412234
1, 0, 0.8863697219640017
1, 0, 0.9252713634632528
1, 0, 0.6646926156245172
1, 0, 0.7215927648358047
1, 0, 0.6869215513579547
1, 0, 0.7291847765445709
1, 1, 0.5263910880312324
1, 0, 0.850443659350276
1, 1, 0.5524314250797033
1, 0, 0.7845230591483414
1, 0, 0.6339059881865978
1, 0, 0.6309879743494093
1, 1, 0.7794679654762149
1, 0, 0.74821099312976
1, 0, 0.8665108075365424
1, 1, 0.7571595977060497
1, 0, 1.0130143673159182
1, 1, 0.5944331497885287
1, 0, 0.9994703037664294
1, 1, 0.6409973101690412
1, 0, 1.648451877757907
1, 1, 0.5890514021739364
1, 0, 0.8673252090811729
1, 0, 0.598076761700213
1, 0, 0.5130259697325528
1, 1, 0.818174596875906
1, 1, 0.6386754834093153
1, 1, 0.6114856121130288
1, 0, 0.6372479368001223
1, 2, 0.6041336818598211
1, 0, 2.1671179719269276
1, 0, 0.9278337173163891
1, 1, 0.5865765130147338
1, 0, 0.928814569953829
1, 0, 0.7935359235852957
1, 1, 0.6922390391118824
1, 0, 0.8012658259831369
1, 1, 0.5900246687233448
1, 0, 0.8020668406970799
1, 0, 0.8143837228417397
1, 0, 0.5897283600643277
1, 0, 0.8597256112843752
1, 0, 0.5497075291350484
1, 1, 0.6183140939101577
1, 0, 0.8204299327917397
1, 0, 0.6245736102573574
1, 0, 0.7006664266809821
1, 1, 0.6645605266094208
1, 0, 0.9905806039460003
1, 0, 0.9532604641281068
1, 1, 0.6368940626271069
1, 0, 0.6339479354210198
1, 1, 0.67296470887959
1, 0, 0.9571428191848099
1, 0, 0.9284071456640959
1, 0, 0.9007558543235064
1, 0, 0.7616921351291239
1, 0, 0.6468833172693849
1, 1, 0.7669739234261215
1, 0, 0.7832583938725293
1, 1, 0.6817883639596403
1, 0, 0.8376443833112717
1, 0, 1.2711298279464245
1, 0, 0.4738547941669822
1, 0, 0.4956660424359143
1, 0, 0.5407294719479978
1, 0, 0.6452005170285702
1, 0, 0.5564440842717886
1, 1, 0.7083686613477767
1, 1, 0.6128091826103628
