# type,stim,RT
cor,3,0.9
none,6,0
none,8,0
omi,3,0
none,5,0
none,7,0
cor,3,0.666
none,1,0
none,7,0
none,2,0
none,9,0
none,2,0
cor,3,0.567
none,5,0
none,6,0
cor,3,0.716
none,4,0
cor,3,0.801
none,2,0
cor,3,0.5
none,2,0
none,8,0
none,4,0
none,2,0
none,1,0
none,7,0
cor,3,0.634
none,4,0
none,9,0
none,5,0
omi,3,0
none,5,0
none,5,0
cor,3,0.717
none,7,0
none,5,0
cor,3,0.633
none,6,0
none,2,0
none,2,0
none,8,0
none,4,0
cor,3,0.783
none,1,0
none,5,0
none,1,0
omi,3,0
none,2,0
none,7,0
cor,3,0.8
none,6,0
none,8,0
cor,3,0.717
delay,8,0.884
none,9,0
none,1,0
none,6,0
cor,3,0.567
none,6,0
none,9,0
cor,3,0.816
none,4,0
none,8,0
cor,3,0.634
none,4,0
none,7,0
none,5,0
none,1,0
cor,3,0.732
none,1,0
none,1,0
none,6,0
cor,3,0.683
none,5,0
none,1,0
cor,3,0.649
none,7,0
cor,3,0.817
none,4,0
none,1,0
none,6,0
cor,3,0.5
none,5,0
com,1,0.733
none,7,0
none,6,0
none,1,0
cor,3,0.65
none,1,0
none,9,0
cor,3,0.533
none,9,0
none,6,0
none,5,0
none,9,0
none,1,0
none,6,0
cor,3,0.517
none,6,0
none,4,0
none,5,0
none,2,0
none,8,0
cor,3,0.468
none,1,0
none,2,0
cor,3,0.618
none,9,0
cor,3,0.818
none,6,0
none,6,0
none,1,0
cor,3,0.683
none,8,0
cor,3,0.7
none,4,0
none,5,0
none,5,0
none,1,0
cor,3,0.552
none,8,0
none,9,0
none,9,0
cor,3,0.566
none,4,0
cor,3,0.584
none,2,0
cor,3,0.6
none,2,0
none,2,0
cor,3,0.717
none,2,0
none,1,0
omi,3,0
delay,1,0.183
none,6,0
none,7,0
none,4,0
cor,3,0.733
none,7,0
none,4,0
none,1,0
cor,3,0.733
none,4,0
none,6,0
none,7,0
none,9,0
none,1,0
none,9,0
cor,3,0.634
none,4,0
none,1,0
none,4,0
cor,3,0.734
none,2,0
none,7,0
none,5,0
none,7,0
none,7,0
cor,3,0.734
none,6,0
omi,3,0
none,7,0
none,4,0
omi,3,0
none,5,0
none,8,0
cor,3,0.517
none,7,0
none,8,0
none,5,0
none,6,0
none,6,0
cor,3,0.65
none,6,0
none,4,0
cor,3,0.618
none,8,0
none,5,0
none,8,0
none,2,0
none,2,0
omi,3,0
delay,5,0.301
none,7,0
cor,3,0.701
none,4,0
omi,3,0
delay,6,0.283
none,5,0
cor,3,0.501
none,2,0
cor,3,0.534
none,9,0
cor,3,0.5
none,7,0
none,1,0
none,5,0
none,6,0
cor,3,0.533
none,2,0
none,7,0
none,6,0
none,5,0
none,8,0
cor,3,0.517
none,2,0
none,7,0
none,8,0
none,5,0
