n_back, resp, RT
1, 0, 1.7547831099946052
1, 0, 0.7800340575631708
1, 0, 0.840510489884764
1, 0, 0.549182339804247
1, 1, 0.5342932725325227
1, 0, 0.49246108485385776
1, 1, 0.5943783451803029
1, 0, 0.5128608697559685
1, 0, 0.5622873071115464
1, 1, 0.5860540333669633
1, 0, 0.47866398678161204
1, 0, 0.5376655689906329
1, 0, 0.5348662550095469
1, 0, 0.6460453942418098
1, 0, 0.45636586262844503
1, 0, 0.6209327834658325
1, 0, 0.48899552249349654
1, 1, 0.5735965720377862
1, 1, 0.6009542567189783
1, 1, 0.541918313363567
1, 0, 0.5962311672046781
1, 0, 1.114985188934952
1, 2, 0.5335868617985398
1, 0, 0.906868918100372
1, 1, 0.4868312191683799
1, 1, 0.5954756692517549
1, 0, 0.5647153428290039
1, 0, 0.4999665312934667
1, 1, 0.5231009244453162
1, 0, 0.5700256950221956
1, 1, 0.6089532535988837
1, 1, 0.5885757813230157
1, 0, 0.6193633289076388
1, 0, 1.1061365357600152
1, 0, 0.6213643052615225
1, 0, 0.73314587934874
1, 0, 0.5268244184553623
1, 0, 0.6000934443436563
1, 0, 0.5429915399290621
1, 0, 0.594494815915823
1, 0, 0.5596008936408907
1, 0, 1.1229533948935568
1, 0, 1.2933840153273195
1, 0, 0.8137503312900662
1, 0, 0.5019826802890748
1, 0, 0.6335705290548503
1, 0, 0.470629736315459
1, 1, 0.699835691601038
1, 0, 0.5532070510089397
1, 0, 0.4192612273618579
1, 2, 0.45040577347390354
1, 1, 0.7175481703598052
1, 0, 0.551849564537406
1, 0, 0.6053020518738776
1, 1, 0.5511926873587072
1, 0, 0.5875030010938644
1, 0, 0.5406050053425133
1, 0, 0.5339532312937081
1, 0, 0.5103859778027982
1, 1, 0.45070877578109503
1, 0, 0.5059841866604984
1, 1, 0.6940732898656279
1, 0, 0.5839794261846691
1, 0, 0.6351855008397251
1, 0, 0.45582501008175313
1, 0, 0.49570843228138983
1, 1, 0.4968579672276974
1, 1, 0.6135290814563632
1, 1, 0.442769129993394
1, 0, 0.7182242362760007
1, 1, 0.7150576596613973
1, 0, 0.5721328782383353
1, 1, 0.6871631385292858
1, 0, 0.5961807412095368
1, 0, 0.611242952523753
1, 0, 0.5849794680252671
1, 0, 0.6848676383960992
1, 1, 0.5814010046888143
1, 0, 0.5598615023773164
1, 0, 1.018799985293299
1, 1, 0.5162880548741668
1, 0, 0.5042277541942894
1, 0, 0.764915619045496
1, 1, 0.598926059436053
1, 0, 0.6848069487605244
1, 0, 0.4615218131802976
1, 0, 0.5005462076514959
1, 0, 0.9162472679745406
1, 1, 0.570326019776985
1, 1, 0.48240890074521303
1, 1, 0.4755723800044507
1, 1, 0.4583565753418952
1, 0, 0.6513008577749133
1, 0, 0.5780568218324333
1, 0, 0.5661977787967771
1, 0, 0.5471510183997452
1, 1, 0.5971584706567228
1, 1, 0.5692974179983139
1, 0, 0.605468948604539
1, 1, 0.6616819268092513
1, 0, 0.48851045058108866
1, 0, 0.6538181432988495
1, 0, 0.8003280814737082
1, 1, 0.6641764538362622
1, 1, 0.602162696653977
1, 0, 0.5849013747647405
1, 1, 0.6627935308497399
1, 0, 0.554036180023104
1, 0, 0.5042848740704358
1, 0, 0.4754398444201797
1, 0, 0.5174179549794644
1, 0, 0.4432577716652304
1, 0, 0.4578076903708279
1, 0, 0.4787701938766986
1, 1, 0.5696258565876633
1, 1, 0.5233360971324146
1, 0, 0.5129898353479803
1, 1, 0.6083932123146951
1, 0, 0.5494496424216777
1, 0, 0.611858774907887
1, 0, 0.7439366041216999
1, 1, 0.6461042987648398
1, 0, 0.5482309386134148
1, 0, 0.5530200731009245
1, 1, 0.509518917882815
1, 1, 0.527974845841527
1, 0, 0.6145425108261406
1, 0, 0.5040090929251164
1, 0, 0.5219232756644487
1, 1, 0.7676805718801916
1, 0, 0.519374752882868
1, 1, 0.7480144193395972
1, 0, 0.46940255421213806
1, 1, 0.6189260059036314
1, 0, 0.7117576552554965
1, 0, 0.7369077506009489
1, 1, 0.6774398391135037
1, 0, 0.5545935439877212
1, 0, 0.8270842239726335
1, 1, 0.7347077478189021
1, 0, 0.5247797095216811
1, 0, 0.5058873507659882
1, 1, 0.7310592234134674
1, 0, 0.4612330903764814
1, 0, 0.4752086878288537
1, 0, 0.8266277122311294
1, 0, 0.8817661248613149
1, 0, 0.6874759583733976
1, 0, 0.4915886700619012
1, 0, 0.4843094714451581
1, 1, 0.6093236396554857
1, 0, 0.4659994663670659
1, 0, 0.4623214895837009
1, 2, 0.8469842108897865
1, 0, 0.5544485130812973
1, 0, 0.545542293926701
1, 1, 0.8083525144029409
1, 0, 0.4458112029824406
1, 0, 0.4928698481526226
1, 0, 0.6258789971470833
1, 0, 0.806899530813098
1, 0, 0.6037816847674549
1, 1, 0.617358336225152
1, 1, 0.5996824498288333
1, 0, 0.6310420874506235
1, 0, 0.5613791921641678
1, 1, 0.5553847418632358
1, 0, 0.5325109576806426
2, 0, 0.6236968440935016
2, 0, 1.1435593459755182
2, 1, 0.7056172816082835
2, 0, 0.749642332084477
2, 0, 2.6744914781302214
2, 1, 0.3866226428654045
2, 1, 2.3836113607976586
2, 0, 0.8716336160432547
2, 1, 1.0258087578695267
2, 0, 1.18274706765078
2, 1, 1.2084125794935971
2, 0, 0.738761018961668
2, 0, 1.3515091661829501
2, 0, 1.499432818731293
2, 1, 0.9586176306474954
2, 0, 0.7940819470677525
2, 0, 2.060567467007786
2, 0, 0.6452916811686009
2, 0, 1.0950093399733305
2, 0, 0.7621381708886474
2, 1, 2.1072213649749756
2, 1, 0.8072484966833144
2, 0, 1.0520847372245044
2, 0, 0.9712018265854567
2, 0, 0.9238861424382776
2, 0, 0.8450492792762816
2, 1, 0.8799614976160228
2, 1, 0.8400330045260489
2, 0, 1.0985976208467036
2, 1, 0.8889248366467655
2, 0, 0.9199096257798374
2, 0, 2.062115947715938
2, 1, 1.0340612235013396
2, 0, 0.9048237630631775
2, 0, 1.476020413218066
