RT_X,0.425, 0.44, 0.525, 0.325, 0.491, 0.458, 0.475, 0.458
RT_AX,0.375, 0.307, 0.324, 0.159, 0.458, 0.274, 0.342
Commissions_X,
Commissions_noa,
Commissions_nox,
Commissions_nxna,
