n_back, resp, RT
1, 0, 3.6496880054473877
1, 0, 0.5785868167877197
1, 0, 0.42728400230407715
1, 0, 0.4846310615539551
1, 0, 0.47973203659057617
1, 0, 0.48676180839538574
1, 0, 0.46375393867492676
1, 0, 0.597480058670044
1, 1, 0.46489620208740234
1, 1, 0.3774080276489258
1, 0, 0.4778330326080322
1, 1, 0.4019179344177246
1, 1, 0.3840141296386719
1, 0, 0.4792039394378662
1, 0, 0.49056410789489746
1, 0, 0.5210270881652832
1, 0, 0.5172820091247559
1, 0, 0.4554619789123535
1, 1, 0.6277039051055908
1, 0, 0.4920649528503418
1, 1, 0.5018467903137207
1, 0, 0.5034871101379395
1, 1, 0.4908559322357178
1, 1, 0.40427589416503906
1, 1, 0.39118003845214844
1, 0, 0.386228084564209
1, 0, 0.44397807121276855
1, 1, 0.5251579284667969
1, 0, 0.41313910484313965
1, 0, 0.5511219501495361
1, 0, 0.40412211418151855
1, 0, 0.4558439254760742
1, 1, 0.5009059906005859
1, 0, 0.41518688201904297
1, 0, 0.5028460025787354
1, 0, 0.5407979488372803
1, 0, 0.43635010719299316
1, 0, 0.4377431869506836
1, 1, 0.41005682945251465
1, 0, 0.36579203605651855
1, 0, 0.4115629196166992
1, 0, 0.7314579486846924
1, 0, 0.41691088676452637
1, 0, 0.41948795318603516
1, 2, 0.5633618831634521
1, 0, 0.6484079360961914
1, 1, 0.632728099822998
1, 1, 0.39119601249694824
1, 0, 0.4535660743713379
1, 1, 0.3648989200592041
1, 0, 0.4020578861236572
1, 0, 0.6086521148681641
1, 0, 0.4206099510192871
1, 1, 0.42021703720092773
1, 0, 0.4092729091644287
1, 0, 0.5061550140380859
1, 1, 0.4263648986816406
1, 1, 0.4293670654296875
1, 0, 0.41746091842651367
1, 0, 0.5204000473022461
1, 0, 0.47670602798461914
1, 0, 0.4463231563568115
1, 0, 0.47095704078674316
1, 0, 0.3826179504394531
1, 0, 0.4462289810180664
1, 0, 0.471804141998291
1, 0, 0.4573030471801758
1, 0, 0.5316488742828369
1, 1, 0.4626619815826416
1, 0, 0.45056700706481934
1, 0, 0.6790390014648438
1, 0, 0.4598391056060791
1, 0, 0.4831969738006592
1, 1, 0.5258309841156006
1, 0, 0.4976320266723633
1, 0, 0.48167896270751953
1, 0, 0.4463460445404053
1, 1, 0.4434089660644531
1, 0, 0.45001912117004395
1, 1, 0.4242708683013916
1, 1, 0.4547131061553955
1, 1, 0.3931300640106201
1, 0, 0.4371809959411621
1, 1, 0.4226040840148926
1, 0, 0.4005570411682129
1, 0, 1.1241390705108643
1, 1, 0.578096866607666
1, 0, 0.5372991561889648
1, 0, 0.6121909618377686
1, 0, 0.693310022354126
1, 0, 0.7274680137634277
1, 0, 1.252983808517456
1, 0, 0.509329080581665
1, 1, 0.37078309059143066
1, 0, 0.43473196029663086
1, 0, 0.45868706703186035
1, 0, 0.4615468978881836
1, 1, 0.38596200942993164
1, 1, 0.3749361038208008
1, 0, 0.4044492244720459
1, 0, 0.40077900886535645
1, 0, 0.49683213233947754
1, 1, 0.42354297637939453
1, 1, 0.36982107162475586
1, 0, 0.500514030456543
2, 0, 0.3128509521484375
2, 0, 2.062838077545166
2, 0, 0.6036369800567627
2, 0, 0.5853500366210938
2, 0, 0.7643740177154541
2, 2, 0.5632460117340088
2, 0, 0.5158829689025879
2, 0, 0.5789339542388916
2, 1, 0.4231841564178467
2, 0, 0.4019138813018799
2, 0, 0.5667378902435303
2, 3, 0.5140879154205322
2, 1, 0.8401479721069336
2, 1, 0.6036009788513184
2, 0, 0.9268429279327393
2, 0, 0.49574899673461914
2, 1, 0.4657468795776367
2, 0, 0.4791069030761719
2, 1, 0.5263729095458984
2, 0, 0.5139288902282715
2, 1, 0.4211580753326416
2, 2, 0.4945991039276123
2, 0, 0.4580111503601074
2, 0, 0.5534031391143799
2, 1, 0.6326999664306641
2, 0, 0.42009401321411133
2, 0, 0.5480320453643799
2, 0, 0.5417380332946777
2, 0, 0.5510261058807373
2, 0, 0.6569468975067139
2, 0, 0.6659529209136963
2, 2, 0.5201561450958252
2, 0, 0.6196029186248779
2, 0, 0.4986457824707031
2, 0, 0.5500969886779785
2, 0, 0.5075969696044922
2, 0, 0.6315288543701172
2, 1, 0.7978842258453369
2, 1, 0.8149900436401367
2, 0, 0.5690889358520508
2, 0, 0.7497382164001465
2, 1, 0.5995550155639648
2, 0, 0.47385597229003906
2, 1, 0.8465840816497803
2, 0, 0.3744931221008301
2, 0, 0.6418230533599854
2, 0, 0.4929080009460449
2, 0, 1.0156381130218506
2, 0, 2.662958860397339
2, 0, 1.6762759685516357
2, 1, 0.5634710788726807
2, 0, 0.42868900299072266
2, 1, 0.47847485542297363
2, 0, 0.6712448596954346
2, 0, 0.785681962966919
2, 2, 1.3150138854980469
2, 1, 0.9227139949798584
2, 0, 0.6167120933532715
2, 0, 0.795767068862915
2, 1, 0.4094090461730957
2, 0, 0.45658206939697266
2, 0, 0.702502965927124
2, 1, 0.5532379150390625
2, 0, 0.4377298355102539
2, 0, 0.5822551250457764
2, 1, 0.41743898391723633
2, 0, 0.4067099094390869
2, 0, 0.6455821990966797
2, 0, 0.7130069732666016
2, 0, 0.5812749862670898
2, 1, 0.4869709014892578
2, 0, 0.4436190128326416
2, 1, 0.5047929286956787
2, 0, 0.6036908626556396
2, 0, 0.7316858768463135
2, 1, 0.6517820358276367
2, 0, 0.51242995262146
2, 0, 0.5308988094329834
2, 0, 0.7980880737304688
2, 0, 0.6207811832427979
2, 1, 0.568234920501709
2, 0, 0.46749401092529297
2, 0, 0.5271000862121582
2, 1, 0.9794390201568604
2, 1, 0.7860970497131348
2, 0, 0.6257338523864746
2, 0, 0.6857199668884277
2, 0, 0.9477560520172119
2, 0, 0.3718271255493164
2, 0, 0.6519532203674316
2, 1, 0.7516870498657227
2, 0, 0.4695091247558594
2, 1, 0.5554330348968506
2, 0, 0.49988698959350586
2, 0, 0.5440080165863037
2, 0, 0.49394917488098145
2, 0, 0.5401210784912109
2, 1, 0.4858100414276123
2, 0, 0.4945809841156006
2, 0, 0.5559709072113037
2, 1, 0.6145520210266113
2, 1, 0.5864739418029785
2, 0, 0.49573802947998047
2, 1, 0.44120001792907715
2, 0, 0.5052120685577393
2, 0, 0.6658689975738525
2, 0, 0.8723978996276855
2, 0, 0.592400074005127
2, 1, 0.7455058097839355
2, 1, 0.5251760482788086
3, 0, 0.2997109889984131
3, 0, 0.574394941329956
3, 0, 1.152433156967163
3, 2, 0.26459813117980957
3, 0, 0.1555328369140625
3, 0, 0.15063691139221191
3, 0, 0.13643789291381836
3, 0, 0.13518214225769043
3, 2, 0.18089604377746582
3, 0, 0.18157696723937988
3, 0, 0.17356514930725098
3, 2, 0.19377708435058594
3, 2, 0.32530903816223145
3, 0, 0.19972801208496094
3, 0, 0.19498896598815918
3, 0, 0.18625283241271973
3, 0, 0.19067811965942383
3, 2, 0.17756009101867676
3, 0, 0.19770288467407227
3, 0, 0.1877608299255371
3, 0, 0.18336200714111328
3, 0, 0.18238401412963867
3, 2, 0.18614912033081055
3, 0, 0.2567617893218994
3, 0, 0.17762088775634766
3, 0, 0.18106508255004883
3, 0, 0.1488659381866455
3, 0, 0.1516859531402588
3, 0, 0.17407989501953125
3, 0, 0.17415118217468262
3, 0, 0.14862585067749023
3, 2, 0.14699602127075195
3, 0, 0.16378188133239746
3, 2, 0.15749478340148926
3, 0, 0.1817169189453125
3, 0, 0.10606098175048828
3, 0, 0.14196300506591797
3, 0, 0.14240598678588867
3, 0, 0.2018578052520752
3, 2, 0.14134502410888672
3, 0, 0.17129898071289062
3, 0, 0.1543898582458496
3, 2, 0.14542317390441895
3, 2, 0.1228628158569336
3, 2, 0.15667390823364258
3, 2, 0.16356801986694336
3, 0, 0.15556097030639648
3, 0, 0.1997239589691162
3, 0, 0.17003083229064941
3, 2, 0.15513300895690918
3, 2, 0.18753695487976074
3, 0, 0.1970360279083252
3, 0, 0.16830921173095703
3, 0, 0.15848112106323242
3, 0, 0.18749690055847168
3, 0, 0.16259503364562988
3, 2, 0.1985020637512207
3, 0, 0.15151000022888184
3, 0, 0.17149996757507324
3, 0, 0.17770600318908691
3, 0, 0.15671205520629883
3, 2, 0.18744587898254395
3, 0, 0.15153288841247559
3, 0, 0.1937570571899414
3, 2, 0.20853614807128906
