# n-level,meancorr_RT,corr_rn1,corr_rn2,corr_rn3,corr_rn4,corr_rn5,err_rn1,err_rn2,err_rn3,err_rn4,err_rn5,mss_rn1,mss_rn2,mss_rn3,mss_rn4,mss_rn5
0.444347,1.000000,6.000000,6.000000,6.000000,7.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.612898,2.000000,6.000000,5.000000,6.000000,6.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000
nan,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,7.000000,7.000000,7.000000,6.000000
